Type,Kind,Part,Chapter,Title,Authors,Pages,DOI,Paper_Link,Category
Method,Full paper,Part II (LNCS 16024),13,FCD-Net: Frequency and Contrastive Learning-Driven Network for Document Image Shadow Removal,"Fan Yang, Nanfeng Jiang, Da-Han Wang, Yun Wu",219-235,10.1007/978-3-032-04617-8_13,https://doi.org/10.1007/978-3-032-04617-8_13,2_Layout_Parsing_Tables
Method,Full paper,Part IV (LNCS 16026),30,RefChartQA: Grounding Visual Answer on Chart Images Through Instruction Tuning,"Alexander Vogel, Omar Moured, Yufan Chen, Jiaming Zhang, Rainer Stiefelhagen",523-537,10.1007/978-3-032-04627-7_30,https://doi.org/10.1007/978-3-032-04627-7_30,3_Chart_Slide_Infographic
Method,Full paper,Part IV (LNCS 16026),37,Optimizing Chart Image Classification: A Study of Data Augmentation and Training Strategies,"Josh Knize, Kenny Davila",638-655,10.1007/978-3-032-04627-7_37,https://doi.org/10.1007/978-3-032-04627-7_37,3_Chart_Slide_Infographic
Method,Full paper,Part I (LNCS 16023),11,AI-Generated Lecture Slides for Improving Slide Element Detection and Retrieval,"Suyash Maniyar, Vishvesh Trivedi, Ajoy Mondal, Anand Mishra, C. V. Jawahar",183-199,10.1007/978-3-032-04614-7_11,https://doi.org/10.1007/978-3-032-04614-7_11,3_Chart_Slide_Infographic
Method,Full paper,Part IV (LNCS 16026),2,Attend to What I Say: Highlighting Relevant Content on Slides,"K. M. Megha Mariam, C. V. Jawahar",21-37,10.1007/978-3-032-04627-7_2,https://doi.org/10.1007/978-3-032-04627-7_2,3_Chart_Slide_Infographic
Method,Full paper,Part I (LNCS 16023),12,InfoDesignLM: An LLM for Interactive and Controllable Infographic Designing Through Text,"Xilin Zhang, Hao Wang, Jianbiao Dai, Pinpin Zhu",200-218,10.1007/978-3-032-04614-7_12,https://doi.org/10.1007/978-3-032-04614-7_12,3_Chart_Slide_Infographic
Method,Full paper,Part III (LNCS 16025),14,Multimodal Content Alignment with LLM for Visual Presentation of Papers,"Huiying Hu, Zhicheng He, Yixiao Zhou, Tongwei Zhang, Xiaoqing Lyu",238-256,10.1007/978-3-032-04624-6_14,https://doi.org/10.1007/978-3-032-04624-6_14,3_Chart_Slide_Infographic
Method,Full paper,Part V (LNCS 16027),1,Evaluating Compliance with Visualization Guidelines in Diagrams for Scientific Publications Using Large Vision Language Models,"Johannes Rückert, Louise Bloch, Christoph M. Friedrich",3-21,10.1007/978-3-032-04630-7_1,https://doi.org/10.1007/978-3-032-04630-7_1,3_Chart_Slide_Infographic
Method,Full paper,Part IV (LNCS 16026),20,SSSI: Self-prompted Segmentation of Scientific Illustrations,"Tuo Wang, Yixiao Zhou, Tongwei Zhang, Zhicheng He, Yumeng Zhao, Xiaoqing Lyu",347-361,10.1007/978-3-032-04627-7_20,https://doi.org/10.1007/978-3-032-04627-7_20,3_Chart_Slide_Infographic
Dataset,Full paper,Part V (LNCS 16027),3,Historic Scripts to Modern Vision: A Novel Dataset and A VLM Framework for Transliteration of Modi Script to Devanagari,"Harshal Kausadikar, Tanvi Kale, Onkar Susladkar, Sparsh Mittal",40-61,10.1007/978-3-032-04630-7_3,https://doi.org/10.1007/978-3-032-04630-7_3,4_OCR_HTR_Indic_Competitions
Dataset,Competition,Part V (LNCS 16027),29,ICDAR 2025 Competition on End-to-End Document Image Machine Translation Towards Complex Layouts,"Yaping Zhang, Yupu Liang, Zhiyang Zhang, Zhiyuan Chen, Lu Xiang, Yang Zhao, Yu Zhou, Chengqing Zong",505-522,10.1007/978-3-032-04630-7_29,https://doi.org/10.1007/978-3-032-04630-7_29,4_OCR_HTR_Indic_Competitions
Dataset,Competition,Part V (LNCS 16027),30,ICDAR 2025 Competition on Understanding Chinese College Entrance Exam Papers,"Wenhao Yu, Tianrui Zong, He Zhang, Lin Yang, He Yang, Guanhao Wu, Ruohua Xu, Qinqin Yan, Liangcai Gao",523-536,10.1007/978-3-032-04630-7_30,https://doi.org/10.1007/978-3-032-04630-7_30,4_OCR_HTR_Indic_Competitions
