Type,Track,Title,Authors,Paper_Link,PDF_Link,Category
Method,AAAI Technical Track on AI for Social Impact Track,Reference-Based Post-OCR Processing with LLM for Precise Diacritic Text in Historical Document Recognition,"Thao Do, Dinh Phu Tran, An Vo, Daeyoung Kim",https://ojs.aaai.org/index.php/AAAI/article/view/35012,https://ojs.aaai.org/index.php/AAAI/article/view/35012/37167,1_Core_VDU_Doc_RAG
Method,IAAI Technical Track on Emerging Applications of AI,Structured Document Generation for Industrial Equipment,"Karol Lynch, Fabio Lorenzi, John D Sheehan, Duygu Kabakci-Zorlu, Bradley Eck",https://ojs.aaai.org/index.php/AAAI/article/view/35150,https://ojs.aaai.org/index.php/AAAI/article/view/35150/37305,1_Core_VDU_Doc_RAG
Method,AAAI Demonstration Track,ClinicalRAG: Automating Pharmaceutical Label Quality Control with Hierarchical RAG and Large Language Models,"Qiaohui Zhou, Zhongliang Zhou, Michael Johnson, Michelle Ngo, Federico Ferrari, Junshui Ma",https://ojs.aaai.org/index.php/AAAI/article/view/35384,https://ojs.aaai.org/index.php/AAAI/article/view/35384/37539,1_Core_VDU_Doc_RAG
Method,AAAI Undergraduate Consortium,A Deep Learning Method for Document Shadow Removal with Sobel Prior under Mask Supervision,Jiarui Li,https://ojs.aaai.org/index.php/AAAI/article/view/35333,https://ojs.aaai.org/index.php/AAAI/article/view/35333/37488,1_Core_VDU_Doc_RAG
Dataset,AAAI Technical Track on Computer Vision III,EvoChart: A Benchmark and a Self-Training Approach Towards Real-World Chart Understanding,"Muye Huang, Han Lai, Xinyu Zhang, Wenjun Wu, Jie Ma, Lingling Zhang, Jun Liu",https://ojs.aaai.org/index.php/AAAI/article/view/32383,https://ojs.aaai.org/index.php/AAAI/article/view/32383/34538,2_Chart_Table_Formula_Poster
Dataset,AAAI Technical Track on Natural Language Processing III,TableBench: A Comprehensive and Complex Benchmark for Table Question Answering,"Xianjie Wu, Jian Yang, Linzheng Chai, Ge Zhang, Jiaheng Liu, Xeron Du, Di Liang, Daixin Shu, Xianfu Cheng, Tianzhen Sun, Tongliang Li, Zhoujun Li, Guanglin Niu",https://ojs.aaai.org/index.php/AAAI/article/view/34739,https://ojs.aaai.org/index.php/AAAI/article/view/34739/36894,2_Chart_Table_Formula_Poster
Dataset,AAAI Technical Track on Natural Language Processing III,RETQA: A Large-Scale Open-Domain Tabular Question Answering Dataset for Real Estate Sector,"Zhensheng Wang, Wenmian Yang, Kun Zhou, Yiquan Zhang, Weijia Jia",https://ojs.aaai.org/index.php/AAAI/article/view/34734,https://ojs.aaai.org/index.php/AAAI/article/view/34734/36889,2_Chart_Table_Formula_Poster
Dataset,AAAI Technical Track on Computer Vision V,GlyphDraw2: Automatic Generation of Complex Glyph Posters with Diffusion Models and Large Language Models,"Jian Ma, Yonglin Deng, Chen Chen, Nanyang Du, Haonan Lu, Zhenyu Yang",https://ojs.aaai.org/index.php/AAAI/article/view/32636,https://ojs.aaai.org/index.php/AAAI/article/view/32636/34791,2_Chart_Table_Formula_Poster
Method,AAAI Technical Track on Computer Vision III,VProChart: Answering Chart Question Through Visual Perception Alignment Agent and Programmatic Solution Reasoning,"Muye Huang, Lingling Zhang, Han Lai, Wenjun Wu, Xinyu Zhang, Jun Liu",https://ojs.aaai.org/index.php/AAAI/article/view/32384,https://ojs.aaai.org/index.php/AAAI/article/view/32384/34539,2_Chart_Table_Formula_Poster
Method,AAAI Technical Track on Computer Vision IV,Union Is Strength! Unite the Power of LLMs and MLLMs for Chart Question Answering,"Jiapeng Liu, Liang Li, Shihao Rao, Xiyan Gao, Weixin Guan, Bing Li, Can Ma",https://ojs.aaai.org/index.php/AAAI/article/view/32584,https://ojs.aaai.org/index.php/AAAI/article/view/32584/34739,2_Chart_Table_Formula_Poster
Method,AAAI Technical Track on Computer Vision III,LATTE: Improving Latex Recognition for Tables and Formulae with Iterative Refinement,"Nan Jiang, Shanchao Liang, Chengxiao Wang, Jiannan Wang, Lin Tan",https://ojs.aaai.org/index.php/AAAI/article/view/32422,https://ojs.aaai.org/index.php/AAAI/article/view/32422/34577,2_Chart_Table_Formula_Poster
Method,AAAI Technical Track on Natural Language Processing II,HeGTa: Leveraging Heterogeneous Graph-enhanced Large Language Models for Few-shot Complex Table Understanding,"Rihui Jin, Yu Li, Guilin Qi, Nan Hu, Yuan-Fang Li, Jiaoyan Chen, Jianan Wang, Yongrui Chen, Dehai Min, Sheng Bi",https://ojs.aaai.org/index.php/AAAI/article/view/34606,https://ojs.aaai.org/index.php/AAAI/article/view/34606/36761,2_Chart_Table_Formula_Poster
Method,AAAI Technical Track on Data Mining & Knowledge Management II,Accurate and Regret-Aware Numerical Problem Solver for Tabular Question Answering,"Yuxiang Wang, Jianzhong Qi, Junhao Gan",https://ojs.aaai.org/index.php/AAAI/article/view/33393,https://ojs.aaai.org/index.php/AAAI/article/view/33393/35548,2_Chart_Table_Formula_Poster
Method,AAAI Technical Track on Natural Language Processing II,Deep Submodular Optimization and LLM for Multimodal Content Extraction and Automatic Poster Generation from Long Document,"Vijay Jaisankar, Sambaran Bandyopadhyay, Kalp Vyas, Varre Suman Chaitanya, Shwetha Somasundaram",https://ojs.aaai.org/index.php/AAAI/article/view/34598,https://ojs.aaai.org/index.php/AAAI/article/view/34598/36753,2_Chart_Table_Formula_Poster
Method,AAAI Technical Track on Computer Vision IX,TAMER: Tree-Aware Transformer for Handwritten Mathematical Expression Recognition,"Jianhua Zhu, Wenqi Zhao, Yu Li, Xingjian Hu, Liangcai Gao",https://ojs.aaai.org/index.php/AAAI/article/view/33190,https://ojs.aaai.org/index.php/AAAI/article/view/33190/35345,2_Chart_Table_Formula_Poster
Method,AAAI Technical Track on Machine Learning VII,SSAN: A Symbol Spatial-Aware Network for Handwritten Mathematical Expression Recognition,"Haoran Zhang, Xiangdong Su, Xingxiang Zhou, Guanglai Gao",https://ojs.aaai.org/index.php/AAAI/article/view/34396,https://ojs.aaai.org/index.php/AAAI/article/view/34396/36551,2_Chart_Table_Formula_Poster
Dataset,AAAI Technical Track on Computer Vision II,Out of Length Text Recognition with Sub-String Matching,"Yongkun Du, Zhineng Chen, Caiyan Jia, Xieping Gao, Yu-Gang Jiang",https://ojs.aaai.org/index.php/AAAI/article/view/32285,https://ojs.aaai.org/index.php/AAAI/article/view/32285/34440,3_OCR_SceneText
Method,AAAI Technical Track on Computer Vision II,InstructOCR: Instruction Boosting Scene Text Spotting,"Chen Duan, Qianyi Jiang, Pei Fu, Jiamin Chen, Shengxi Li, Zining Wang, Shan Guo, Junfeng Luo",https://ojs.aaai.org/index.php/AAAI/article/view/32286,https://ojs.aaai.org/index.php/AAAI/article/view/32286/34441,3_OCR_SceneText
Method,AAAI Technical Track on Computer Vision V,Arbitrary Reading Order Scene Text Spotter with Local Semantics Guidance,"Jiahao Lyu, Wei Wang, Dongbao Yang, Jinwen Zhong, Yu Zhou",https://ojs.aaai.org/index.php/AAAI/article/view/32632,https://ojs.aaai.org/index.php/AAAI/article/view/32632/34787,3_OCR_SceneText
