Type,Track,Title,Authors,Paper_Link,PDF_Link,Anthology_ID,Category
Method,Main - Long,PreP-OCR: A Complete Pipeline for Document Image Restoration and Enhanced OCR Accuracy,"Shuhao Guan, Moule Lin, Cheng Xu, Xinyi Liu, Jinman Zhao, Jiexin Fan, Qi Xu, Derek Greene",https://aclanthology.org/2025.acl-long.749/,https://aclanthology.org/2025.acl-long.749.pdf,2025.acl-long.749,2_DocParsing_OCR_KIE
Method,Findings,PM3-KIE: A Probabilistic Multi-Task Meta-Model for Document Key Information Extraction,"Birgit Kirsch, Héctor Allende-Cid, Stefan Rueping",https://aclanthology.org/2025.findings-acl.1075/,https://aclanthology.org/2025.findings-acl.1075.pdf,2025.findings-acl.1075,2_DocParsing_OCR_KIE
Method,Main - Long,Single-to-mix Modality Alignment with Multimodal Large Language Model for Document Image Machine Translation,"Yupu Liang, Yaping Zhang, Zhiyang Zhang, Yang Zhao, Lu Xiang, Chengqing Zong, Yu Zhou",https://aclanthology.org/2025.acl-long.606/,https://aclanthology.org/2025.acl-long.606.pdf,2025.acl-long.606,2_DocParsing_OCR_KIE
Method,Findings,A Query-Response Framework for Whole-Page Complex-Layout Document Image Translation with Relevant Regional Concentration,"Zhiyang Zhang, Yaping Zhang, Yupu Liang, Zhiyuan Chen, Lu Xiang, Yang Zhao, Yu Zhou, Chengqing Zong",https://aclanthology.org/2025.findings-acl.372/,https://aclanthology.org/2025.findings-acl.372.pdf,2025.findings-acl.372,2_DocParsing_OCR_KIE
Method,Findings,Improving MLLM’s Document Image Machine Translation via Synchronously Self-reviewing Its OCR Proficiency,"Yupu Liang, Yaping Zhang, Zhiyang Zhang, Zhiyuan Chen, Yang Zhao, Lu Xiang, Chengqing Zong, Yu Zhou",https://aclanthology.org/2025.findings-acl.1213/,https://aclanthology.org/2025.findings-acl.1213.pdf,2025.findings-acl.1213,2_DocParsing_OCR_KIE
Method,Industry,REVISE: A Framework for Revising OCRed text in Practical Information Systems with Data Contamination Strategy,"Gyuho Shim, Seongtae Hong, Heuiseok Lim",https://aclanthology.org/2025.acl-industry.100/,https://aclanthology.org/2025.acl-industry.100.pdf,2025.acl-industry.100,2_DocParsing_OCR_KIE
Method,Findings,Cheap Character Noise for OCR-Robust Multilingual Embeddings,"Andrianos Michail, Juri Opitz, Yining Wang, Robin Meister, Rico Sennrich, Simon Clematide",https://aclanthology.org/2025.findings-acl.609/,https://aclanthology.org/2025.findings-acl.609.pdf,2025.findings-acl.609,2_DocParsing_OCR_KIE
Method,Demo,DocSpiral: A Platform for Integrated Assistive Document Annotation through Human-in-the-Spiral,"Qiang Sun, Sirui Li, Tingting Bi, Du Q. Huynh, Mark Reynolds, Yuanyi Luo, Wei Liu",https://aclanthology.org/2025.acl-demo.26/,https://aclanthology.org/2025.acl-demo.26.pdf,2025.acl-demo.26,2_DocParsing_OCR_KIE
Dataset,Main - Long,ChartCoder: Advancing Multimodal Large Language Model for Chart-to-Code Generation,"Xuanle Zhao, Xianzhen Luo, Qi Shi, Chi Chen, Shuo Wang, Zhiyuan Liu, Maosong Sun",https://aclanthology.org/2025.acl-long.363/,https://aclanthology.org/2025.acl-long.363.pdf,2025.acl-long.363,3_Chart_Table
Dataset,Main - Long,ChartLens: Fine-grained Visual Attribution in Charts,"Manan Suri, Puneet Mathur, Nedim Lipka, Franck Dernoncourt, Ryan A. Rossi, Dinesh Manocha",https://aclanthology.org/2025.acl-long.1094/,https://aclanthology.org/2025.acl-long.1094.pdf,2025.acl-long.1094,3_Chart_Table
Dataset,Main - Long,Infogen: Generating Complex Statistical Infographics from Documents,"Akash Ghosh, Aparna Garimella, Pritika Ramu, Sambaran Bandyopadhyay, Sriparna Saha",https://aclanthology.org/2025.acl-long.1003/,https://aclanthology.org/2025.acl-long.1003.pdf,2025.acl-long.1003,3_Chart_Table
Dataset,Student Research Workshop,Chart Question Answering from Real-World Analytical Narratives,"Maeve Hutchinson, Radu Jianu, Aidan Slingsby, Jo Wood, Pranava Madhyastha",https://aclanthology.org/2025.acl-srw.50/,https://aclanthology.org/2025.acl-srw.50.pdf,2025.acl-srw.50,3_Chart_Table
Dataset,Findings,ChartEdit: How Far Are MLLMs From Automating Chart Analysis? Evaluating MLLMs’ Capability via Chart Editing,"Xuanle Zhao, Xuexin Liu, Yang Haoyue, Xianzhen Luo, Fanhu Zeng, Jianling Li, Qi Shi, Chi Chen",https://aclanthology.org/2025.findings-acl.185/,https://aclanthology.org/2025.findings-acl.185.pdf,2025.findings-acl.185,3_Chart_Table
Dataset,Findings,ChartQAPro: A More Diverse and Challenging Benchmark for Chart Question Answering,"Ahmed Masry, Mohammed Saidul Islam, Mahir Ahmed, Aayush Bajaj, Firoz Kabir, Aaryaman Kartha, Md Tahmid Rahman Laskar, Mizanur Rahman, Shadikur Rahman, Mehrad Shahmohammadi, Megh Thakkar, Md Rizwan Parvez, Enamul Hoque, Shafiq Joty",https://aclanthology.org/2025.findings-acl.978/,https://aclanthology.org/2025.findings-acl.978.pdf,2025.findings-acl.978,3_Chart_Table
Dataset,Main - Long,Exploring Multimodal Relation Extraction of Hierarchical Tabular Data with Multi-task Learning,"Xinyu Zhang, Aibo Song, Jingyi Qiu, Jiahui Jin, Tianbo Zhang, Xiaolin Fang",https://aclanthology.org/2025.acl-long.1298/,https://aclanthology.org/2025.acl-long.1298.pdf,2025.acl-long.1298,3_Chart_Table
Method,Main - Long,METAL: A Multi-Agent Framework for Chart Generation with Test-Time Scaling,"Bingxuan Li, Yiwei Wang, Jiuxiang Gu, Kai-Wei Chang, Nanyun Peng",https://aclanthology.org/2025.acl-long.1452/,https://aclanthology.org/2025.acl-long.1452.pdf,2025.acl-long.1452,3_Chart_Table
Method,Industry,Judging the Judges: Can Large Vision-Language Models Fairly Evaluate Chart Comprehension and Reasoning?,"Md Tahmid Rahman Laskar, Mohammed Saidul Islam, Ridwan Mahbub, Ahmed Masry, Mizanur Rahman, Amran Bhuiyan, Mir Tafseer Nayeem, Shafiq Joty, Enamul Hoque, Jimmy Xiangji Huang",https://aclanthology.org/2025.acl-industry.83/,https://aclanthology.org/2025.acl-industry.83.pdf,2025.acl-industry.83,3_Chart_Table
Method,Findings,Why Vision Language Models Struggle with Visual Arithmetic? Towards Enhanced Chart and Geometry Understanding,"Kung-Hsiang Huang, Can Qin, Haoyi Qiu, Philippe Laban, Shafiq Joty, Caiming Xiong, Chien-Sheng Wu",https://aclanthology.org/2025.findings-acl.249/,https://aclanthology.org/2025.findings-acl.249.pdf,2025.findings-acl.249,3_Chart_Table
Method,Findings,Self-play through Computational Runtimes improves Chart Reasoning,"Tautvydas Misiūnas, Hassan Mansoor, Jasper Uijlings, Oriana Riva, Victor Carbune",https://aclanthology.org/2025.findings-acl.559/,https://aclanthology.org/2025.findings-acl.559.pdf,2025.findings-acl.559,3_Chart_Table
Method,Main - Long,Lexical Diversity-aware Relevance Assessment for Retrieval-Augmented Generation,"Zhange Zhang, Yuqing Ma, Yulong Wang, Shan He, Tianbo Wang, Siqi He, Jiakai Wang, Xianglong Liu",https://aclanthology.org/2025.acl-long.1346/,https://aclanthology.org/2025.acl-long.1346.pdf,2025.acl-long.1346,4_TextDoc_RAG_Retrieval
Method,Student Research Workshop,From Ambiguity to Accuracy: The Transformative Effect of Coreference Resolution on Retrieval-Augmented Generation systems,"Youngjoon Jang, Seongtae Hong, Junyoung Son, Sungjin Park, Chanjun Park, Heuiseok Lim",https://aclanthology.org/2025.acl-srw.27/,https://aclanthology.org/2025.acl-srw.27.pdf,2025.acl-srw.27,4_TextDoc_RAG_Retrieval
Method,Industry,EXPLAIN: Enhancing Retrieval-Augmented Generation with Entity Summary,"Yaozhen Liang, Xiao Liu, Jiajun Yu, Zhouhua Fang, Qunsheng Zou, Linghan Zheng, Yong Li, Zhiwei Liu, Haishuai Wang",https://aclanthology.org/2025.acl-industry.108/,https://aclanthology.org/2025.acl-industry.108.pdf,2025.acl-industry.108,4_TextDoc_RAG_Retrieval
Method,Findings,GeAR: Generation Augmented Retrieval,"Haoyu Liu, Shaohan Huang, Jianfeng Liu, Yuefeng Zhan, Hao Sun, Weiwei Deng, Feng Sun, Furu Wei, Qi Zhang",https://aclanthology.org/2025.findings-acl.166/,https://aclanthology.org/2025.findings-acl.166.pdf,2025.findings-acl.166,4_TextDoc_RAG_Retrieval
Method,Findings,CA-GAR: Context-Aware Alignment of LLM Generation for Document Retrieval,"Heng Yu, Junfeng Kang, Rui Li, Qi Liu, Liyang He, Zhenya Huang, Shuanghong Shen, Junyu Lu",https://aclanthology.org/2025.findings-acl.303/,https://aclanthology.org/2025.findings-acl.303.pdf,2025.findings-acl.303,4_TextDoc_RAG_Retrieval
Method,Findings,Optimizing Multi-Hop Document Retrieval Through Intermediate Representations,"Jiaen Lin, Jingyu Liu, Yingbo Liu",https://aclanthology.org/2025.findings-acl.816/,https://aclanthology.org/2025.findings-acl.816.pdf,2025.findings-acl.816,4_TextDoc_RAG_Retrieval
