Type,Vol,Published,Title,Authors,DOI,Paper_Link,Has_Abstract,Category
Method,158,2025-2,HierCode: A lightweight hierarchical codebook for zero-shot Chinese text recognition,"Yuyi Zhang, Yuanzhi Zhu, Dezhi Peng, Peirong Zhang, Zhenhua Yang, Zhibo Yang, Cong Yao, Lianwen Jin",10.1016/j.patcog.2024.110963,https://doi.org/10.1016/j.patcog.2024.110963,NO,2_OCR_HTR_SceneText
Method,158,2025-2,HTR-VT: Handwritten text recognition with vision transformer,"Yuting Li, Dexiong Chen, Tinglong Tang, Xi Shen",10.1016/j.patcog.2024.110967,https://doi.org/10.1016/j.patcog.2024.110967,NO,2_OCR_HTR_SceneText
Method,158,2025-2,A novel domain independent scene text localizer,"Ayush Roy, Shivakumara Palaiahnakote, Umapada Pal, Cheng-Lin Liu",10.1016/j.patcog.2024.111015,https://doi.org/10.1016/j.patcog.2024.111015,yes,2_OCR_HTR_SceneText
Method,159,2025-3,Fine-grained Automatic Augmentation for handwritten character recognition,"Wei Chen, Xiangdong Su, Hongxu Hou",10.1016/j.patcog.2024.111079,https://doi.org/10.1016/j.patcog.2024.111079,NO,2_OCR_HTR_SceneText
Method,159,2025-3,"EGO-LM: An efficient, generic, and out-of-the-box language model for handwritten text recognition","Hongliang Li, Dezhi Peng, Lianwen Jin",10.1016/j.patcog.2024.111130,https://doi.org/10.1016/j.patcog.2024.111130,NO,2_OCR_HTR_SceneText
Method,159,2025-3,HTCSigNet: A Hybrid Transformer and Convolution Signature Network for offline signature verification,"Lidong Zheng, Da Wu, Shengjie Xu, Yuchen Zheng",10.1016/j.patcog.2024.111146,https://doi.org/10.1016/j.patcog.2024.111146,NO,2_OCR_HTR_SceneText
Method,160,2025-4,"Count, decompose and correct: A new approach to handwritten Chinese character error correction","Pengfei Hu, Jiefeng Ma, Zhenrong Zhang, Jun Du, Jianshu Zhang",10.1016/j.patcog.2024.111110,https://doi.org/10.1016/j.patcog.2024.111110,NO,2_OCR_HTR_SceneText
Method,161,2025-5,MAGIC: Multi-granularity domain adaptation for text recognition,"Jia-Ying Zhang, Xiao-Qian Liu, Zhi-Yuan Xue, Xin Luo, Xin-Shun Xu",10.1016/j.patcog.2024.111229,https://doi.org/10.1016/j.patcog.2024.111229,NO,2_OCR_HTR_SceneText
Method,161,2025-5,Mixture-of-experts for handwriting trajectory reconstruction from IMU sensors,"Florent Imbert, Eric Anquetil, Yann Soullard, Romain Tavenard",10.1016/j.patcog.2024.111231,https://doi.org/10.1016/j.patcog.2024.111231,NO,2_OCR_HTR_SceneText
Method,161,2025-5,Joint radical embedding and detection for zero-shot Chinese character recognition,"Guo-Feng Luo, Da-Han Wang, Xu-Yao Zhang, Zi-Hao Lin, Shunzhi Zhu",10.1016/j.patcog.2024.111286,https://doi.org/10.1016/j.patcog.2024.111286,NO,2_OCR_HTR_SceneText
Method,162,2025-6,Vision–language pre-training for graph-based handwritten mathematical expression recognition,"Hong-Yu Guo, Chuang Wang, Fei Yin, Xiao-Hui Li, Cheng-Lin Liu",10.1016/j.patcog.2025.111346,https://doi.org/10.1016/j.patcog.2025.111346,NO,2_OCR_HTR_SceneText
Method,162,2025-6,UCR: A unified character-radical dual-supervision framework for accurate Chinese character recognition,"Qilong Li, Chongsheng Zhang",10.1016/j.patcog.2025.111373,https://doi.org/10.1016/j.patcog.2025.111373,NO,2_OCR_HTR_SceneText
Method,162,2025-6,A survey of handwriting synthesis from 2019 to 2024: A comprehensive review,"Moises Diaz, Andrea Mendoza-García, Miguel A. Ferrer, Robert Sabourin",10.1016/j.patcog.2025.111357,https://doi.org/10.1016/j.patcog.2025.111357,yes,2_OCR_HTR_SceneText
Method,164,2025-8,TextDiff: Enhancing scene text image super-resolution with mask-guided residual diffusion models,"Baolin Liu, Zongyuan Yang, Chinwai Chiu, Yongping Xiong",10.1016/j.patcog.2025.111513,https://doi.org/10.1016/j.patcog.2025.111513,NO,2_OCR_HTR_SceneText
Method,164,2025-8,Online Signature Verification based on the Lagrange formulation with 2D and 3D robotic models,"Moises Diaz, Miguel A. Ferrer, Juan M. Gil, Rafael Rodriguez, Peirong Zhang, Lianwen Jin",10.1016/j.patcog.2025.111581,https://doi.org/10.1016/j.patcog.2025.111581,yes,2_OCR_HTR_SceneText
Method,165,2025-9,Bidirectional trained tree-structured decoder for Handwritten Mathematical Expression Recognition,"Hanbo Cheng, Chenyu Liu, Pengfei Hu, Zhenrong Zhang, Jiefeng Ma, Jun Du",10.1016/j.patcog.2025.111599,https://doi.org/10.1016/j.patcog.2025.111599,NO,2_OCR_HTR_SceneText
Method,168,2025-12,Fusing deep and hand-crafted features by deep canonically correlated contractive autoencoder for offline signature verification,"Xingbiao Zhao, Lidong Zheng, Panli Yuan, Yuchen Zheng",10.1016/j.patcog.2025.111834,https://doi.org/10.1016/j.patcog.2025.111834,NO,2_OCR_HTR_SceneText
Method,159,2025-3,Global-aware Fragment Representation Aggregation Network for image–text retrieval,"Di Wang, Jiabo Tian, Xiao Liang, Yumin Tian, Lihuo He",10.1016/j.patcog.2024.111085,https://doi.org/10.1016/j.patcog.2024.111085,NO,3_Retrieval
Method,160,2025-4,Semantic decomposition and enhancement hashing for deep cross-modal retrieval,"Lunke Fei, Zhihao He, Wai Keung Wong, Qi Zhu, Shuping Zhao, Jie Wen",10.1016/j.patcog.2024.111225,https://doi.org/10.1016/j.patcog.2024.111225,NO,3_Retrieval
Method,161,2025-5,Online weighted hashing for cross-modal retrieval,"Zining Jiang, Zhenyu Weng, Runhao Li, Huiping Zhuang, Zhiping Lin",10.1016/j.patcog.2024.111232,https://doi.org/10.1016/j.patcog.2024.111232,NO,3_Retrieval
Method,167,2025-11,A unified framework of data augmentation using large language models for text-based cross-modal retrieval,"Lijia Si, Caili Guo, Zheng Li, Yang Yang",10.1016/j.patcog.2025.111755,https://doi.org/10.1016/j.patcog.2025.111755,NO,3_Retrieval
Method,168,2025-12,A storage-efficient LSH scheme for high-dimensional ANN search,"Wenyue Huang, Jingjian Zhang, Youlong Yang",10.1016/j.patcog.2025.111805,https://doi.org/10.1016/j.patcog.2025.111805,NO,3_Retrieval
