Type,Vol,Published,Title,Authors,DOI,Paper_Link,Has_Abstract,Category
Method,180,2026-12,Promptable Selective Scene Text Removal,"Guan Li, Anna Zhu, Ran Gong, Seiichi Uchida",10.1016/j.patcog.2026.114136,https://doi.org/10.1016/j.patcog.2026.114136,NO,2_OCR_HTR_SceneText
Method,180,2026-12,ProtoSig: Enhancing training data for offline handwritten signature verification using prototypical signatures,"Kecia G. de Moura, Robert Sabourin, Rafael M.O. Cruz",10.1016/j.patcog.2026.114258,https://doi.org/10.1016/j.patcog.2026.114258,yes,2_OCR_HTR_SceneText
Method,180,2026-12,BengHWR: A robust handwritten word recognizer in Bengali,"Moumita Moitra, Sujan Kumar Saha",10.1016/j.patcog.2026.114557,https://doi.org/10.1016/j.patcog.2026.114557,NO,2_OCR_HTR_SceneText
Method,In Press,2026-9,Learn the fundamental characteristics of handwritten characters for a necessary neural network calibration,"Mohamed Kentour, Joan Lu, Qiang Xu",10.1016/j.patcog.2026.114899,https://doi.org/10.1016/j.patcog.2026.114899,yes,2_OCR_HTR_SceneText
Method,179,2026-11,HM-RAG: Long video reasoning and anomaly detection via hierarchical multi-agent retrieval-augmented generation,"Jisheng Dang, Quan Wan, Dewei Liu, Ziyue Wang, Bimei Wang, Pei Liu, Hong Peng, Bin Hu, Tat-Seng Chua",10.1016/j.patcog.2026.113622,https://doi.org/10.1016/j.patcog.2026.113622,NO,3_RAG_MM_Retrieval
Method,178,2026-10,Dual-strategy retrieval-augmented generation for anomaly recovery in large language models,"Jinxin Lv, Zijie Li, Jianhou Gan, Wenqi Ren, Shuyu Chen, Jun Wang",10.1016/j.patcog.2026.113430,https://doi.org/10.1016/j.patcog.2026.113430,NO,3_RAG_MM_Retrieval
Method,180,2026-12,Concept-based heterogeneous context fusion for enhancing RAG via AMR-driven distillation,"Kaize Shi, Xueyao Sun, Qika Lin, Yan Li, Qing Li, Guandong Xu",10.1016/j.patcog.2026.114604,https://doi.org/10.1016/j.patcog.2026.114604,NO,3_RAG_MM_Retrieval
Method,179,2026-11,Retrieval-augmented prompt for out-of-distribution detection,"Ruisong Han, Jiahao Zhang, Guofeng Zhang, Mingyue Cheng, Changqing Zhang, Zongbo Han",10.1016/j.patcog.2026.113779,https://doi.org/10.1016/j.patcog.2026.113779,NO,3_RAG_MM_Retrieval
Method,172,2026-4,Retrieval-augmented image harmonization,"Haolin Wang, Ming Liu, Zifei Yan, Chao Zhou, Longan Xiao, Wangmeng Zuo",10.1016/j.patcog.2025.112556,https://doi.org/10.1016/j.patcog.2025.112556,NO,3_RAG_MM_Retrieval
Method,180,2026-12,Retrieval-augmented diffusion with acoustic priors for high-fidelity sonar image generation,"Shaocong Yang, Zheng Gu, Hongye Cao, Xiaolong Qi, Ling Lin, Jing Huo, Yang Gao",10.1016/j.patcog.2026.114165,https://doi.org/10.1016/j.patcog.2026.114165,NO,3_RAG_MM_Retrieval
