Type,Track,Decision,Title,Authors,Topic,Paper_Link,PDF_Link,Category
Dataset,Main,Accept (regular),TextAtlas5M: A Large-Scale Dataset for Long Text Image Generation,"Dongxing Mao, Alex Jinpeng Wang, weiming Han, Jiawei Zhang, Zhuobai Dong, Linjie Li, Lin Yiqi, Zhengyuan Yang, Libo Qin, Fuwei Zhang, Lijuan Wang, Min Li",Applications->Computer Vision,https://openreview.net/forum?id=5vufrrbi4N,https://openreview.net/pdf?id=5vufrrbi4N,2_DocParsing_OCR
Method,Main,Accept (regular),Dissecting Post-Training: Uncovering the Complementary Roles of SFT and RL for Document Parsing,"Jun-Peng Jiang, An-Yang Ji, Shiyin Lu, Guodong Zheng, Weihong Zhang, Qing-Guo Chen, Weihua Luo, Kaifu Zhang, Long Chen, De-Chuan Zhan, Han-Jia Ye",,https://openreview.net/forum?id=gQkJewuCDZ,https://openreview.net/pdf?id=gQkJewuCDZ,2_DocParsing_OCR
Method,Main,Accept (regular),OvisOCR: End-to-End Document Parsing via Aligning Specialized Perception with General Reasoning,"Jun-Peng Jiang, Shiyin Lu, An-Yang Ji, Yinglun Li, Qing-Guo Chen, Zhao Xu, Weihua Luo, Kaifu Zhang, De-Chuan Zhan, Han-Jia Ye",,https://openreview.net/forum?id=6dcgmtBYhh,https://openreview.net/pdf?id=6dcgmtBYhh,2_DocParsing_OCR
Method,Main,Accept (regular),RTPrune: Reading-Twice Inspired Token Pruning for Efficient DeepSeek-OCR Inference,"Ben Wan, Yan Feng, Zihan Tang, Weizhe Huang, Yuting Zeng, Jia Wang, Tongxuan Liu",Applications->Computer Vision,https://openreview.net/forum?id=bniyv9QWYc,https://openreview.net/pdf?id=bniyv9QWYc,2_DocParsing_OCR
Method,Main,Accept (regular),Detached Skip-Links and $R$-Probe: Decoupling Feature Aggregation from Gradient Propagation for MLLM OCR,"Ziye Yuan, Ruchang Yao, Chengxin Zheng, Yusheng Zhao, Daxiang Dong, Ming Zhang",Applications->Computer Vision,https://openreview.net/forum?id=9u1a2MpGng,https://openreview.net/pdf?id=9u1a2MpGng,2_DocParsing_OCR
Method,Main,Accept (regular),MemOCR: Layout-Aware Visual Memory for Efficient Long-Horizon Reasoning,"Yaorui Shi, Shugui Liu, Yu Yang, Wenyu Mao, Yuxin Chen, Qi GU, Hui Su, Xunliang Cai, Xiang Wang, An Zhang",,https://openreview.net/forum?id=vv4TMkyfWA,https://openreview.net/pdf?id=vv4TMkyfWA,2_DocParsing_OCR
Method,Main,Accept (regular),Awakening Visual Reasoning: Mitigating Post-Training Failure in Vision-Text Compression,"Xing Xi, Liyao Li, Hao Chen, NINGTAO WANG, Peixian Chen, peilin tong, Xing Fu, Yu Cheng, Haobo Wang, Gang Chen, Junbo Zhao, Ronghua Luo",Deep Learning->Large Language Models,https://openreview.net/forum?id=MrrLfshRVj,https://openreview.net/pdf?id=MrrLfshRVj,2_DocParsing_OCR
Dataset,Main,Accept (regular),ChartE$^{3}$: A Comprehensive Benchmark for End-to-End Chart Editing,"Shuo Li, Jiajun Sun, Zhekai Wang, Xiaoran Fan, Hui Li, Dingwen Yang, Zhiheng Xi, Yijun Wang, Zifei Shan, Tao Gui, Qi Zhang, Xuanjing Huang",Applications->Computer Vision,https://openreview.net/forum?id=7tAon7qQQX,https://openreview.net/pdf?id=7tAon7qQQX,3_Table_Chart_Slide
Dataset,Main,Accept (regular),DV-World: Benchmarking Data Visualization Agents in Real-World Scenarios,"Jinxiang Meng, Shaoping Huang, Fangyu Lei, Jingyu Guo, Haoxiang Liu, Jiahao Su, Sihan Wang, Yao Wang, Enrui Wang, Ye Yang, Hongze Chai, Jinming Lyu, Anbang Yu, Huangjing Zhang, Yitong Zhang, Yiming Huang, Zeyao Ma, Shizhu He, Jun Zhao, Kang Liu",General Machine Learning->Evaluation,https://openreview.net/forum?id=q2kihJvzqC,https://openreview.net/pdf?id=q2kihJvzqC,3_Table_Chart_Slide
Dataset,Main,Accept (regular),PlotCraft: Pushing the Limits of LLMs for Complex and Interactive Data Visualization,"Jiajun Zhang, Jianke Zhang, Zeyu Cui, Jiaxi Yang, Lei Zhang, Zilei Wang, Qiang Liu, Liang Wang, Binyuan Hui, Junyang Lin",,https://openreview.net/forum?id=RQJjbqIcz0,https://openreview.net/pdf?id=RQJjbqIcz0,3_Table_Chart_Slide
Dataset,Main,Accept (regular),PPT-Eval: A Benchmark for Computer-Use Agents on PowerPoint Tasks,"Apurva Gandhi, Vishwas Suryanarayanan, Raja Anwar, Firoz Shaik, Shubhang Desai, Thong Nguyen, Muhammad Raza, Vishal Chowdhary, Graham Neubig",General Machine Learning->Evaluation,https://openreview.net/forum?id=GmeK95WQQ4,https://openreview.net/pdf?id=GmeK95WQQ4,3_Table_Chart_Slide
Method,Main,Accept (regular),SpreadsheetArena: Decomposing Preference in LLM Generation of Spreadsheet Workbooks,"Srivatsa Kundurthy, Clara Na, Michael Handley, Zach Kirshner, Chen Bo Calvin Zhang, Manasi Sharma, Emma Strubell, John Ling",Applications->Everything Else,https://openreview.net/forum?id=20x0qoSG2f,https://openreview.net/pdf?id=20x0qoSG2f,3_Table_Chart_Slide
Method,Main,Accept (regular),Orthogonal Hierarchical Decomposition for Structure-Aware Table Understanding with Large Language Models,"Bin Cao, huixian lu, chenwen ma, Ting Wang, Ruizhe Li, JING FAN",Deep Learning->Large Language Models,https://openreview.net/forum?id=RdZzPTkEkf,https://openreview.net/pdf?id=RdZzPTkEkf,3_Table_Chart_Slide
Method,Main,Accept (spotlight),Decoupling Skeleton and Flesh: Efficient Multimodal Table Reasoning with Disentangled Alignment and Structure-aware Guidance,"Yingjie Zhu, Xuefeng Bai, Kehai Chen, Yang Xiang, Youcheng Pan, Xiaoqiang Zhou, Min zhang",Applications->Computer Vision,https://openreview.net/forum?id=PN7l7mBPDO,https://openreview.net/pdf?id=PN7l7mBPDO,3_Table_Chart_Slide
Method,Main,Accept (regular),PosterAgent: Agentic Poster Generation via Stage-Aware Reinforcement Learning,"Zhuocheng Yu, Feng Zhang, Sujian Li, Kai Jia","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=ehKGFkxIo7,https://openreview.net/pdf?id=ehKGFkxIo7,3_Table_Chart_Slide
Method,Main,Accept (regular),LiveFigure: Generating Editable Scientific Illustration with VLM Agents,"Chenyang Shao, Jiahe Liu, Fengli Xu, Yong Li","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=bJJLW1gjqh,https://openreview.net/pdf?id=bJJLW1gjqh,3_Table_Chart_Slide
Dataset,Main,Accept (regular),AOEB: Benchmarking Agent-Oriented Multimodal Embeddings,"Xin Zhang, Jiaxin Xu, mengjia zhou, Xinping Zhao, Yinghui Li, di yin, Xing Sun, Meishan Zhang, Baotian Hu, Wenjie Li, Min zhang",Applications->Everything Else,https://openreview.net/forum?id=mNOx4mKh3F,https://openreview.net/pdf?id=mNOx4mKh3F,4_MM_Retrieval_MultiVector
Method,Main,Accept (regular),FreeRet: MLLMs as Training-Free Retrievers,"Yuhan Zhu, Xiangyu Zeng, Chenting Wang, Xinhao Li, Chunxu Liu, Yicheng Xu, Ziang Yan, Yi Wang, Limin Wang",,https://openreview.net/forum?id=0Cq8Cqvuq4,https://openreview.net/pdf?id=0Cq8Cqvuq4,4_MM_Retrieval_MultiVector
Method,Main,Accept (regular),LEMUR: Learned Multi-Vector Retrieval,"Elias Jääsaari, Ville Hyvönen, Teemu Roos",General Machine Learning->Scalable Algorithms,https://openreview.net/forum?id=1mpoh36RBU,https://openreview.net/pdf?id=1mpoh36RBU,4_MM_Retrieval_MultiVector
Method,Main,Accept (regular),No More K-means: Single-Stage Sparse Coding for Efficient Multi-Vector Retrieval,"Lixuan Guo, Yifei Wang, Tiansheng Wen, Aosong Feng, Stefanie Jegelka, Chenyu You",General Machine Learning->Representation Learning,https://openreview.net/forum?id=pp1enKGv2v,https://openreview.net/pdf?id=pp1enKGv2v,4_MM_Retrieval_MultiVector
Method,Main,Accept (regular),CrossQ: Task-Aligned Cross-Token Conditional Quantization for Late Interaction Retrieval,"Rohit Kumar Salla, Manoj Saravanan, Ramya Amancherla",,https://openreview.net/forum?id=jxHF6z0S1L,https://openreview.net/pdf?id=jxHF6z0S1L,4_MM_Retrieval_MultiVector
Method,Main,Accept (regular),EntRAG: Entity-Centric Retrieval-Augmented Generation for Knowledge-based Visual Question Answering,"Yiheng Hu, Xiaoyang Wang, Qing Liu, Sherry Xu, Qian Fu, Wenjie Zhang",Applications->Everything Else,https://openreview.net/forum?id=u9U8yDOOVm,https://openreview.net/pdf?id=u9U8yDOOVm,5_Multimodal_RAG
Method,Main,Accept (regular),VideoTrace-R1: Long Video-based Retrieval-Augmented Generation via Reinforcement Learning,"Zongsheng Cao, Anran Liu, Jun Xie, Feng Chen, Lang Chen, Jing Li, zhepeng Wang, Zigan Wang",,https://openreview.net/forum?id=LuzGvybw2S,https://openreview.net/pdf?id=LuzGvybw2S,5_Multimodal_RAG
Method,Main,Accept (regular),RA-VLA: Retrieval-Augmented VLA for Test-Time Adaptation,"Sanghwan Jang, Minjin Jeon, Minsoo Kim, Seong Jin Choi, Dongha Kim, Hwanjo Yu",Applications->Robotics,https://openreview.net/forum?id=ut6HebnnQe,https://openreview.net/pdf?id=ut6HebnnQe,5_Multimodal_RAG
