Type,Track,Sub-category,Title,Authors,Part,Section,Springer_Link,Scholar_Search,arXiv_Search,ID
Method,Conference,Document parsing / IE / OCR with VLMs,Doc2Doc: Structure-Aware Generative Rendering for Bi-Directional Document Translation,"Fahad Alotaibi, Daulet Toibazar, Renad Almusaad, Ranya Alkahtani, Haneen Alhomoud, Asma Ibrahim, Yazeed Alharbi, Murtadha Aljubran, Pedro Moreno",,,,https://scholar.google.com/scholar?q=%22Doc2Doc%3A+Structure-Aware+Generative+Rendering+for+Bi-Directional+Document+Translation%22,https://arxiv.org/search/?searchtype=title&query=Doc2Doc%3A+Structure-Aware+Generative+Rendering+for+Bi-Directional+Document+Translation,351
Method,Conference,Document parsing / IE / OCR with VLMs,MultiFOLD: A Multimodal Framework to correct OCR Lapses in cluttered Documents,"Rajat Verma, Vriti Sharma, Manikandan Ravikiran, Rohit Saluja",,,,https://scholar.google.com/scholar?q=%22MultiFOLD%3A+A+Multimodal+Framework+to+correct+OCR+Lapses+in+cluttered+Documents%22,https://arxiv.org/search/?searchtype=title&query=MultiFOLD%3A+A+Multimodal+Framework+to+correct+OCR+Lapses+in+cluttered+Documents,385
Method,Conference,Document parsing / IE / OCR with VLMs,Vision Language Models as OCR Correctors for Historical Texts,"Radoslav Koynov, Triet Ho Anh Doan, Philipp Wieder",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_14,https://scholar.google.com/scholar?q=%22Vision+Language+Models+as+OCR+Correctors+for+Historical+Texts%22,https://arxiv.org/search/?searchtype=title&query=Vision+Language+Models+as+OCR+Correctors+for+Historical+Texts,158
Method,Conference,Document parsing / IE / OCR with VLMs,Error Patterns in Historical OCR: A Comparative Analysis of TrOCR and a Vision–Language Model,"Ari Vesalainen, Eetu Mäkelä, Laura Ruotsalainen, Mikko Tolonen",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_15,https://scholar.google.com/scholar?q=%22Error+Patterns+in+Historical+OCR%3A+A+Comparative+Analysis+of+TrOCR+and+a+Vision%E2%80%93Language+Model%22,https://arxiv.org/search/?searchtype=title&query=Error+Patterns+in+Historical+OCR%3A+A+Comparative+Analysis+of+TrOCR+and+a+Vision%E2%80%93Language+Model,313
Method,Conference,Document parsing / IE / OCR with VLMs,Specialized HTR vs Vision-Language Models: Evaluating DANIEL and Fine-Tuned Qwen on Historical Documents,"Gabriel Frossard, Franck Gechter",,,,https://scholar.google.com/scholar?q=%22Specialized+HTR+vs+Vision-Language+Models%3A+Evaluating+DANIEL+and+Fine-Tuned+Qwen+on+Historical+Documents%22,https://arxiv.org/search/?searchtype=title&query=Specialized+HTR+vs+Vision-Language+Models%3A+Evaluating+DANIEL+and+Fine-Tuned+Qwen+on+Historical+Documents,145
Method,Conference,Document parsing / IE / OCR with VLMs,Vision-Language Model based Transfer Learning for Historical Document Recognition,"Yifan Huang, Liangrui Peng, Tianqi Zhao, Di Wu, Kemeng Zhao, Shuo Li, Zhiyu Li, Yuyang Li",,,,https://scholar.google.com/scholar?q=%22Vision-Language+Model+based+Transfer+Learning+for+Historical+Document+Recognition%22,https://arxiv.org/search/?searchtype=title&query=Vision-Language+Model+based+Transfer+Learning+for+Historical+Document+Recognition,391
Method,Conference,Document parsing / IE / OCR with VLMs,Improving MLLM Historical Record Extraction with Test-Time Image Augmentation,"Taylor Archibald, Tony Martinez",Part I,Document Image Processing,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_11,https://scholar.google.com/scholar?q=%22Improving+MLLM+Historical+Record+Extraction+with+Test-Time+Image+Augmentation%22,https://arxiv.org/search/?searchtype=title&query=Improving+MLLM+Historical+Record+Extraction+with+Test-Time+Image+Augmentation,62
Method,Conference,Document parsing / IE / OCR with VLMs,Evaluating Vision-Language Models on Historical Postcards,"Matthieu Pelingre, Salvatore Tabbone",,,,https://scholar.google.com/scholar?q=%22Evaluating+Vision-Language+Models+on+Historical+Postcards%22,https://arxiv.org/search/?searchtype=title&query=Evaluating+Vision-Language+Models+on+Historical+Postcards,82
Method,Conference,Document parsing / IE / OCR with VLMs,An Analysis of Lightweight Models for Document Image Machine Translation,"Abantika Bose, Thomas Gorges, Lukas Hüttner, Linda-Sophie Schneider, Mathias Seuret, Fei Wu, Vincent Christlein",,,,https://scholar.google.com/scholar?q=%22An+Analysis+of+Lightweight+Models+for+Document+Image+Machine+Translation%22,https://arxiv.org/search/?searchtype=title&query=An+Analysis+of+Lightweight+Models+for+Document+Image+Machine+Translation,117
Method,Conference,Document parsing / IE / OCR with VLMs,GLiDRE: Generalist Lightweight Model for Document-level Relation Extraction,"Robin Armingaud, Romaric Besançon",,,,https://scholar.google.com/scholar?q=%22GLiDRE%3A+Generalist+Lightweight+Model+for+Document-level+Relation+Extraction%22,https://arxiv.org/search/?searchtype=title&query=GLiDRE%3A+Generalist+Lightweight+Model+for+Document-level+Relation+Extraction,311
