Type,Sub-category,Decision,Title,Authors,Primary_Area,Paper_Link,PDF_Link,Category
Method,-,Accept (Poster),Automated Formalization via Conceptual Retrieval-Augmented LLMs,"Wangyue Lu, Lun Du, Sirui Li, Ke Weng, Haozhe Sun, Hengyu Liu, Minghe Yu, Tiancheng Zhang, Ge Yu",Applications->Everything Else,https://openreview.net/forum?id=09lmwhDqZ3,https://openreview.net/pdf?id=09lmwhDqZ3,3_RAG
Method,-,Accept (Poster),Resisting Contextual Interference in RAG via Parametric-Knowledge Reinforcement,"Chenyu Lin, Yilin Wen, Du Su, Hexiang Tan, Fei Sun, Muhan Chen, Chenfu Bao, Zhonghou Lv",,https://openreview.net/forum?id=6Qc6sO1jh9,https://openreview.net/pdf?id=6Qc6sO1jh9,3_RAG
Method,-,Accept (Poster),CFT-RAG: An Entity Tree Based Retrieval Augmented Generation Algorithm With Cuckoo Filter,"Zihang Li, Yangdong Ruan, Wenjun Liu, Zhengyang Wang, Tong Yang",Deep Learning->Algorithms,https://openreview.net/forum?id=4y25Ifytn8,https://openreview.net/pdf?id=4y25Ifytn8,3_RAG
Method,-,Accept (Poster),ImageRAG: Dynamic Image Retrieval for Reference-Guided Image Generation,"Rotem Shalev-Arkushin, Rinon Gal, Amit Bermano, Ohad Fried",Computer Vision->Image and Video Generation,https://openreview.net/forum?id=VT3tTfXrDi,https://openreview.net/pdf?id=VT3tTfXrDi,3_RAG
Method,-,Accept (Poster),Safeguarding Multimodal Knowledge Copyright in the RAG-as-a-Service Environment,"Tianyu Chen, Jian Lou, Wenjie Wang",Social Aspects->Trustworthy Machine Learning,https://openreview.net/forum?id=eWBu4tY9ta,https://openreview.net/pdf?id=eWBu4tY9ta,3_RAG
Method,-,Accept (Poster),RESCUE: Retrieval Augmented Secure Code Generation,"Jiahao Shi, Tianyi Zhang","Social Aspects->Fairness, Equity, Justice and Safety",https://openreview.net/forum?id=gbxhesw4UH,https://openreview.net/pdf?id=gbxhesw4UH,3_RAG
Method,-,Accept (Poster),When to use Graphs in RAG: A Comprehensive Analysis for Graph Retrieval-Augmented Generation,"Zhishang Xiang, Chuanjie Wu, Qinggang Zhang, Shengyuan Chen, Zijin Hong, Xiao Huang, Jinsong Su",Applications->Everything Else,https://openreview.net/forum?id=i9q9xDMjG7,https://openreview.net/pdf?id=i9q9xDMjG7,3_RAG
Method,-,Accept (Poster),Beyond RAG vs. Long-Context: Learning Distraction-Aware Retrieval for Efficient Knowledge Grounding,"Seongwoong Shim, Myunsoo Kim, Jae Cho, Byung-Jun Lee","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=c8CZWLy4T4,https://openreview.net/pdf?id=c8CZWLy4T4,3_RAG
Method,-,Accept (Poster),Toward Faithful Retrieval-Augmented Generation with Sparse Autoencoders,"Guangzhi Xiong, Zhenghao He, Bohan Liu, Sanchit Sinha, Aidong Zhang",Social Aspects->Trustworthy Machine Learning,https://openreview.net/forum?id=hgBZP67BkP,https://openreview.net/pdf?id=hgBZP67BkP,3_RAG
Method,-,Accept (Poster),FrugalRAG: Less is More in RL Finetuning for Multi-hop Question Answering,"Abhinav Java, Srivathsan Koundinyan, Nagarajan Natarajan, Amit Sharma","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=uQKtwdJN0o,https://openreview.net/pdf?id=uQKtwdJN0o,3_RAG
Method,-,Accept (Poster),R-WoM: Retrieval-augmented World Model For Computer-use Agents,"Kai Mei, Jiang Guo, Shuaichen Chang, Mingwen Dong, Dongkyu Lee, Xing Niu, Jiarong Jiang",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=5ZaoXB3MdP,https://openreview.net/pdf?id=5ZaoXB3MdP,3_RAG
Method,-,Accept (Poster),RAG4DMC: Retrieval-Augmented Generation for Data-Level Modality Completion,"Ningxin He, Yongheng Deng, Sheng Yue, Yongjian Fu, Zhangzehui, Tiegang Gao",,https://openreview.net/forum?id=6LA7KDjNsy,https://openreview.net/pdf?id=6LA7KDjNsy,3_RAG
