Type,Sub-category,Decision,Title,Authors,Paper_Link,PDF_Link,ECCV_Page,Category
Dataset,-,Accept Poster,PPTArena: A Benchmark for PowerPoint Editing,"Michael Ofengenden, Yunze Man, Ziqi Pang, Liang-Yan Gui, Yu-Xiong Wang",https://eccv.ecva.net/virtual/2026/poster/4154,,https://eccv.ecva.net/virtual/2026/poster/4154,3_Chart_Diagram_Slide_Design
Dataset,-,Accept Poster,Diagram-MMU: A Multi-Modal Benchmark for Scientific Diagrams,"Weihao Bo, Shan Zhang, Yanpeng Sun, Jie Liu, Yongke Yao, Jinhao Du, Wei He, KAI ZOU, Zechao Li, Jingdong Wang",https://eccv.ecva.net/virtual/2026/poster/3381,,https://eccv.ecva.net/virtual/2026/poster/3381,3_Chart_Diagram_Slide_Design
Dataset,-,Accept Poster,CHARTSTYLE-100K: A Large-Scale Dataset for Structured Visualization Style Transfer,"Yuwei Yang, Tianchi Xie, Jinhong Ni, Yukai Guo, Jing Zhang, Liang Zheng, Yalong Bai, YUHUI YUAN",https://eccv.ecva.net/virtual/2026/poster/5569,,https://eccv.ecva.net/virtual/2026/poster/5569,3_Chart_Diagram_Slide_Design
Dataset,-,Accept Poster,OmniSch: A Multimodal PCB Schematic Benchmark For Structured Diagram Visual Reasoning,"Taiting Lu, Kaiyuan Lin, Yuxin Tian, Yubo Wang, Muchuan Wang, Sharique Khatri, Akshit Kartik, Yixi Wang, Amey Rane, Yida Wang, Yifan Yang, Yi-Chao Chen, yincheng jin, Mahanth Gowda",https://eccv.ecva.net/virtual/2026/poster/3451,,https://eccv.ecva.net/virtual/2026/poster/3451,3_Chart_Diagram_Slide_Design
Dataset,-,Accept Poster,Molecular Identifier Visual Prompting and Verifiable Reinforcement Learning for Chemical Reaction Diagram Parsing,"Jiahe Song, Chuang Wang, Yinfan Wang, Hao Zheng, Bowen Jiang, Rui Nie, Xingjian Wei, Junyuan Gao, Yubin Wang, Bin Wang, Lijun Wu, Jiang Wu, Qian Yu, Conghui He",https://eccv.ecva.net/virtual/2026/poster/4646,,https://eccv.ecva.net/virtual/2026/poster/4646,3_Chart_Diagram_Slide_Design
Dataset,-,Accept Poster,Beyond Atomic Layouts: Compositional Design Understanding with Vision-Language Models,"Yiyang Huang, Zhaowen Wang, Simon Jenni, Jing Shi, Yitian Zhang, Yizhou Wang, Yun Fu",https://eccv.ecva.net/virtual/2026/poster/4079,,https://eccv.ecva.net/virtual/2026/poster/4079,3_Chart_Diagram_Slide_Design
Dataset,-,Accept Poster,ReDesign: Recovering Editable Design Structures from Raster Images via Agentic Decomposition,"Jooyeol Yun, Jintae Park, Hyesu Lim, Junha Hyung, Hyungjin Chung, Choo Jaegul",https://eccv.ecva.net/virtual/2026/poster/3480,,https://eccv.ecva.net/virtual/2026/poster/3480,3_Chart_Diagram_Slide_Design
Method,-,Accept Poster,Mitigating Sycophancy in Multimodal Chart Understanding via Vision-Grounded Verification,"Xiaolong Wang, Zhiwei Lin, Tai Liu, Qiang Li, Jian Sun",https://eccv.ecva.net/virtual/2026/poster/5590,,https://eccv.ecva.net/virtual/2026/poster/5590,3_Chart_Diagram_Slide_Design
Method,-,Accept Poster,RobustRDP: Advancing Reaction Diagram Parsing via Synthetic-to-Real Data Scaling and Robustness-Oriented Training,"Jianting Tang, zezhong wu, Linli Xu",https://eccv.ecva.net/virtual/2026/poster/5682,,https://eccv.ecva.net/virtual/2026/poster/5682,3_Chart_Diagram_Slide_Design
Method,-,Accept Poster,Circuit-MLLM: Topological Logic-Guided Latent-Space Visual Reasoning for Circuit Schematic Understanding,"Jinyuan Deng, Yuqi Jiang, Wenjing Huang, Xin Li, Qi Sun, Cheng Zhuo",https://eccv.ecva.net/virtual/2026/poster/4463,,https://eccv.ecva.net/virtual/2026/poster/4463,3_Chart_Diagram_Slide_Design
Method,-,Accept Poster,Narrative-Driven Paper-to-Slide Generation via ArcDeck,"Tarik Can Ozden, SACHIDANAND VISHNUKUMAR SARMINI, Furkan Horoz, Ozgur Kara, Junho Kim, James Rehg",https://eccv.ecva.net/virtual/2026/poster/3590,,https://eccv.ecva.net/virtual/2026/poster/3590,3_Chart_Diagram_Slide_Design
Method,-,Accept Poster,Personalization as Inverse Planning: Learning Latent Design Intents for Agentic Slide Generation via Structural Denoising,"Tianci Liu, Zihan Dong, Linjun Zhang, Haoyu Wang, Jing Gao, Emre Kıcıman, Ranveer Chandra, Wei-Ting Chen",https://eccv.ecva.net/virtual/2026/poster/5977,,https://eccv.ecva.net/virtual/2026/poster/5977,3_Chart_Diagram_Slide_Design
Method,-,Accept Poster,PosterCopilot: Toward Layout Reasoning and Controllable Editing for Professional Graphic Design,"Jiazhe Wei, Ken Li, Tianyu Lao, Haofan Wang, Yueming Lyu, Liang Wang, Caifeng Shan, Chenyang Si",https://eccv.ecva.net/virtual/2026/poster/4148,,https://eccv.ecva.net/virtual/2026/poster/4148,3_Chart_Diagram_Slide_Design
Method,-,Accept Poster,i-Design: Step-by-Step Graphic Layout Design with Progressive Aesthetic Policy Optimization,"Sohan Patnaik, Rishabh Jain, Balaji Krishnamurthy, Mausoom Sarkar",https://eccv.ecva.net/virtual/2026/poster/5750,,https://eccv.ecva.net/virtual/2026/poster/5750,3_Chart_Diagram_Slide_Design
Method,-,Accept Poster,DIVA: Instruction-Aware Vision Token Pruning via Dual-Probe Attention Discrepancy,"Hyunwoo Kim, Kisu Lee, Yuna Shin, Ha Young Kim",https://eccv.ecva.net/virtual/2026/poster/4758,,https://eccv.ecva.net/virtual/2026/poster/4758,4_VisualToken_Efficiency
Method,-,Accept Poster,Spectral Evolution-Guided Token Pruning in Large Multimodal Models,"Bin Chen, Yuxiang Cai, Yadan Luo, Yi Zhang, Jianwei Yin, Zhi Chen",https://eccv.ecva.net/virtual/2026/poster/3609,,https://eccv.ecva.net/virtual/2026/poster/3609,4_VisualToken_Efficiency
Method,-,Accept Poster,Why and When Visual Token Pruning Fails? A Study on Relevant Visual Information Shift in MLLMs Decoding,"Jiwan Kim, Kibum Kim, Wonjoong Kim, Byung-Kwan Lee, Chanyoung Park",https://eccv.ecva.net/virtual/2026/poster/5552,,https://eccv.ecva.net/virtual/2026/poster/5552,4_VisualToken_Efficiency
Method,-,Accept Poster,SWIFT: Spatial-Window Integrated Frequency-aware Token Pruning for Efficient MLLMs on Edge Devices,"Guanglai Liu, Jubo Chen, Xiaosheng Yu",https://eccv.ecva.net/virtual/2026/poster/3307,,https://eccv.ecva.net/virtual/2026/poster/3307,4_VisualToken_Efficiency
Method,-,Accept Poster,AnchorPrune: Relevance-Anchored Contextual Expansion for Visual Token Pruning,"Kyuan Oh, Bumsoo Kim",https://eccv.ecva.net/virtual/2026/poster/4172,,https://eccv.ecva.net/virtual/2026/poster/4172,4_VisualToken_Efficiency
Method,-,Accept Poster,FlashVLM: Text-Guided Visual Token Selection for Large Multimodal Models,"Kaitong Cai, jusheng zhang, Sizhuo Ma, Bingqian Lu, Jian Wang, Keze Wang",https://eccv.ecva.net/virtual/2026/poster/4782,,https://eccv.ecva.net/virtual/2026/poster/4782,4_VisualToken_Efficiency
Method,-,Accept Poster,Structured Redundancy Modeling for Efficient Visual Token Pruning in High-Resolution MLLMs,"Jouwon Song, Woohyeong Kim, Kyeongbo Kong",https://eccv.ecva.net/virtual/2026/poster/5909,,https://eccv.ecva.net/virtual/2026/poster/5909,4_VisualToken_Efficiency
Method,-,Accept Poster,ToDRE: Effective Visual Token Pruning via Token Diversity and Task Relevance,"Duo Li, Zuhao Yang, Xiaoqin Zhang, Ling Shao, Shijian Lu",https://eccv.ecva.net/virtual/2026/poster/4815,,https://eccv.ecva.net/virtual/2026/poster/4815,4_VisualToken_Efficiency
Method,-,Accept Poster,Combating Textual Noise and Redundancy: Entropy-Aware Dense Visual Token Pruning,"Xuehui Wang, Xuankun Yang, Wei Shen",https://eccv.ecva.net/virtual/2026/poster/3558,,https://eccv.ecva.net/virtual/2026/poster/3558,4_VisualToken_Efficiency
Method,-,Spotlight,Fourier Compressor: Frequency-Domain Visual Token Compression for Vision-Language Models,"Huanyu Wang, Jushi Kai, Haoli Bai, Lu Hou, Bo Jiang, Ziwei He, Zhouhan Lin",https://eccv.ecva.net/virtual/2026/poster/3240,,https://eccv.ecva.net/virtual/2026/poster/3240,4_VisualToken_Efficiency
Method,-,Accept Poster,Accelerating Multimodal Large Language Models with Prior-Corrected Token Reduction,"Zengjie Chen, Yuxiang Cai, Jingcai Guo, Taotao Cai, Jianwei Yin, Zhi Chen",https://eccv.ecva.net/virtual/2026/poster/3636,,https://eccv.ecva.net/virtual/2026/poster/3636,4_VisualToken_Efficiency
Method,-,Accept Poster,NaVLM-PVC: Progressive Visual Compression for Efficient Native-Resolution Encoding in MLLMs,"Shichu Sun, Yichen Zhang, Haolin Song, Zonghao Guo, Chi Chen, Yidan Zhang, Yuan Yao, Zhiyuan Liu, Maosong Sun",https://eccv.ecva.net/virtual/2026/poster/4176,,https://eccv.ecva.net/virtual/2026/poster/4176,4_VisualToken_Efficiency
Method,-,Accept Poster,Perceptual Projection Pruning: Diversity-Aware Video Token Pruning for Multimodal Large Language Models,"Zhuangqiu Huang, Minxin Lai, Shuo Liu, Yu Zhang, Jiaqi Wang",https://eccv.ecva.net/virtual/2026/poster/5817,,https://eccv.ecva.net/virtual/2026/poster/5817,4_VisualToken_Efficiency
Method,-,Accept Poster,HitMem: Hierarchical Temporal 3D Memory with Multi-Modal Context-Aware Retrieval for Dynamic Environments,"Ruijie Tang, Chenye Zou, Guoquan Wu, Jun Wei, Wei Chen, Jiaxin Zhu",https://eccv.ecva.net/virtual/2026/poster/5322,,https://eccv.ecva.net/virtual/2026/poster/5322,5_MM_RAG_Retrieval_other
