Type,Decision,Title,Authors,Paper_Link,PDF_Link,Category
Method,Accept (Poster),Enhancing Document Understanding with Group Position Embedding: A Novel Approach to Incorporate Layout Information,"Yuke Zhu, Yue Zhang, Dongdong Liu, Chi Xie, Zihua Xiong, Bo Zheng, Sheng Guo",https://openreview.net/forum?id=Dj9a4zQsSl,https://openreview.net/pdf?id=Dj9a4zQsSl,1_Core_VDU_DocRAG
Method,Accept (Poster),DocMIA: Document-Level Membership Inference Attacks against DocVQA Models,"Khanh Nguyen, Raouf Kerkouche, Mario Fritz, Dimosthenis Karatzas",https://openreview.net/forum?id=gNxvs5pUdu,https://openreview.net/pdf?id=gNxvs5pUdu,1_Core_VDU_DocRAG
Method,Accept (Poster),Mini-Monkey: Alleviating the Semantic Sawtooth Effect for Lightweight MLLMs via Complementary Image Pyramid,"Mingxin Huang, Yuliang Liu, Dingkang Liang, Lianwen Jin, Xiang Bai",https://openreview.net/forum?id=71XtUhazG0,https://openreview.net/pdf?id=71XtUhazG0,1_Core_VDU_DocRAG
Method,Accept (Poster),VCR: A Task for Pixel-Level Complex Reasoning in Vision Language Models via Restoring Occluded Text,"Tianyu Zhang, Suyuchen Wang, Lu Li, Ge Zhang, Perouz Taslakian, Sai Rajeswar, Jie Fu, Bang Liu, Yoshua Bengio",https://openreview.net/forum?id=s0Z4csHOoE,https://openreview.net/pdf?id=s0Z4csHOoE,1_Core_VDU_DocRAG
Dataset,Accept (Oral),ChartMoE: Mixture of Diversely Aligned Expert Connector for Chart Understanding,"Zhengzhuo Xu, Bowen Qu, Yiyan Qi, SiNan Du, Chengjin Xu, Chun Yuan, Jian Guo",https://openreview.net/forum?id=o5TsWTUSeF,https://openreview.net/pdf?id=o5TsWTUSeF,2_Chart_Table
Dataset,Accept (Poster),ChartMimic: Evaluating LMM's Cross-Modal Reasoning Capability via Chart-to-Code Generation,"Cheng Yang, Chufan Shi, Yaxin Liu, Bo Shui, JUNJIE WANG, Mohan Jing, Linran XU, Xinyu Zhu, Siheng Li, Yuxiang Zhang, Gongye Liu, Xiaomei Nie, Deng Cai, Yujiu Yang",https://openreview.net/forum?id=sGpCzsfd1K,https://openreview.net/pdf?id=sGpCzsfd1K,2_Chart_Table
Dataset,Accept (Oral),MMQA: Evaluating LLMs with Multi-Table Multi-Hop Complex Questions,"Jian Wu, Linyi Yang, Dongyuan Li, Yuliang Ji, Manabu Okumura, Yue Zhang",https://openreview.net/forum?id=GGlpykXDCa,https://openreview.net/pdf?id=GGlpykXDCa,2_Chart_Table
Method,Accept (Poster),Bridging the Semantic Gap Between Text and Table: A Case Study on NL2SQL,"Lin Long, Xijun Gu, Xinjie Sun, Wentao Ye, Haobo Wang, Sai Wu, Gang Chen, Junbo Zhao",https://openreview.net/forum?id=qmsX2R19p9,https://openreview.net/pdf?id=qmsX2R19p9,2_Chart_Table
Dataset,Accept (Spotlight),BRIGHT: A Realistic and Challenging Benchmark for Reasoning-Intensive Retrieval,"Hongjin SU, Howard Yen, Mengzhou Xia, Weijia Shi, Niklas Muennighoff, Han-yu Wang, Liu Haisu, Quan Shi, Zachary Siegel, Michael Tang, Ruoxi Sun, Jinsung Yoon, Sercan Arik, Danqi Chen, Tao Yu",https://openreview.net/forum?id=ykuc5q381b,https://openreview.net/pdf?id=ykuc5q381b,3_Retrieval_Embeddings
Dataset,Accept (Poster),MMTEB: Massive Multilingual Text Embedding Benchmark,"Kenneth Enevoldsen, Isaac Chung, Imene Kerboua, Márton Kardos, Ashwin Mathur, David Stap, Jay Gala, Wissam Siblini, Dominik Krzemiński, Genta Winata, Saba Sturua, Saiteja Utpala, Mathieu Ciancone, Marion Schaeffer, Diganta Misra, Shreeya Dhakal, Jonathan Rystrøm, Roman Solomatin, Ömer Çağatan, Akash Kundu, Martin Bernstorff, Shitao Xiao, Akshita Sukhlecha, Bhavish Pahwa, Rafał Poświata, Kranthi Kiran GV, Shawon Ashraf, Daniel Auras, Björn Plüster, Jan Harries, Loïc Magne, Isabelle Mohr, Dawei Zhu, Hippolyte Gisserot-Boukhlef, Tom Aarsen, Jan Kostkan, Konrad Wojtasik, Taemin Lee, Marek Suppa, Crystina Zhang, Roberta Rocca, Mohammed Hamdy, Andrianos Michail, John Yang, Manuel Faysse, Aleksei Vatolin, Nandan Thakur, Manan Dey, Dipam Vasani, Pranjal Chitale, Simone Tedeschi, Nguyen Tai, Artem Snegirev, Mariya Hendriksen, Michael Günther, Mengzhou Xia, Weijia Shi, Xing Han Lu, Jordan Clive, Gayatri K, Maksimova Anna, Silvan Wehrli, Maria Tikhonova, Henil Panchal, Aleksandr Abramov, Malte Ostendorff, Zheng Liu, Simon Clematide, Lester James V. Miranda, Alena Fenogenova, Guangyu Song, Ruqiya Bin Safi, Wen-Ding Li, Alessia Borghini, Federico Cassano, Lasse Hansen, Sara Hooker, Chenghao Xiao, Vaibhav Adlakha, Orion Weller, Siva Reddy, Niklas Muennighoff",https://openreview.net/forum?id=zl3pfz4VCV,https://openreview.net/pdf?id=zl3pfz4VCV,3_Retrieval_Embeddings
