Type,Sub-category,Title,Authors,Track,Paper_Link,PDF_Link,Category
Dataset,-,Knowledge Completes the Vision: A Multimodal Entity-aware Retrieval-Augmented Generation Framework for News Image Captioning,"Xiaoxing You, Qiang Huang, Lingyu Li, Chi Zhang, Xiaopeng Liu, Min Zhang, Jun Yu",AAAI Technical Track on Computer Vision XI,https://ojs.aaai.org/index.php/AAAI/article/view/38200,https://ojs.aaai.org/index.php/AAAI/article/view/38200/42162,4_Multimodal_RAG
Dataset,-,Organ-Aware Routing Mixture-of-Retrieval Augmented Generation for Fetal Ultrasound Reporting,"Bin Pu, Siyu Wang, Rongbin Li, Xinpeng Ding, Lei Zhao, Chaoqi Chen, Shengli Li, Kenli Li",AAAI Technical Track on Computer Vision VII,https://ojs.aaai.org/index.php/AAAI/article/view/37795,https://ojs.aaai.org/index.php/AAAI/article/view/37795/41757,4_Multimodal_RAG
Dataset,-,MAVIS: A Benchmark for Multimodal Source Attribution in Long-form Visual Question Answering,"Seokwon Song, Minsu Park, Gunhee Kim",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40585,https://ojs.aaai.org/index.php/AAAI/article/view/40585/44546,4_Multimodal_RAG
Dataset,-,Benchmarking Multimodal Knowledge Conflict for Large Multimodal Models,"Yifan Jia, Yuntao Du, Kailin Jiang, Yuyang Liang, Qihan Ren, Yi Xin, Rui Yang, Fenze Feng, MingCai Chen, Hengyang Lu, Haozhe Wang, Xiaoye Qu, Qian Li, Dongrui Liu",AAAI Technical Track on Machine Learning IV,https://ojs.aaai.org/index.php/AAAI/article/view/39385,https://ojs.aaai.org/index.php/AAAI/article/view/39385/43346,4_Multimodal_RAG
Dataset,-,MMhops-R1: Multimodal Multi-hop Reasoning,"Tao Zhang, Ziqi Zhang, Zongyang Ma, Yuxin Chen, Bing Li, Chunfeng Yuan, Guangting Wang, Fengyun Rao, Ying Shan, Weiming Hu",AAAI Technical Track on Machine Learning X,https://ojs.aaai.org/index.php/AAAI/article/view/40068,https://ojs.aaai.org/index.php/AAAI/article/view/40068/44029,4_Multimodal_RAG
Dataset,-,Hybrid-DMKG: A Hybrid Reasoning Framework over Dynamic Multimodal Knowledge Graphs for Multimodal Multihop QA with Knowledge Editing,"Li Yuan, Qingfei Huang, Bingshan Zhu, Yi Cai, Qingbao Huang, Changmeng Zheng, Zikun Deng, Tao Wang",AAAI Technical Track on Machine Learning X,https://ojs.aaai.org/index.php/AAAI/article/view/40028,https://ojs.aaai.org/index.php/AAAI/article/view/40028/43989,4_Multimodal_RAG
Method,-,Enhancing Retrieval-Augmented Large Vision Language Models via Knowledge Conflict Mitigation,"Wenbin An, Jiahao Nie, Feng Tian, Mingxiang Cai, Yaqiang Wu, Xiaoqin Zhang, Shijian Lu",AAAI Technical Track on Computer Vision I,https://ojs.aaai.org/index.php/AAAI/article/view/37216,https://ojs.aaai.org/index.php/AAAI/article/view/37216/41178,4_Multimodal_RAG
Method,-,MMRAG-RFT: Two-stage Reinforcement Fine-tuning for Explainable Multi-modal Retrieval-augmented Generation,"Shengwei Zhao, Jingwen Yao, Sitong Wei, Linhai Xu, Yuying Liu, Dong Zhang, Zhiqiang Tian, Shaoyi Du",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40801,https://ojs.aaai.org/index.php/AAAI/article/view/40801/44762,4_Multimodal_RAG
Method,-,MrM: Black-Box Membership Inference Attacks Against Multimodal RAG Systems,"Peiru Yang, Jinhua Yin, Haoran Zheng, Xueying Bai, Huili Wang, Yufei Sun, Xintian Li, Songwei Pei, Yongfeng Huang, Tao Qi",AAAI Technical Track on Natural Language Processing V,https://ojs.aaai.org/index.php/AAAI/article/view/40726,https://ojs.aaai.org/index.php/AAAI/article/view/40726/44687,4_Multimodal_RAG
Method,-,VaccineRAG: Boosting Multimodal Large Language Models’ Immunity to Harmful RAG Samples,"Qixin Sun, Ziqin Wang, Hengyuan Zhao, Yilin Li, Kaiyou Song, Si Liu, Xiaolin Hu, Qingpei Guo, Linjiang Huang",AAAI Technical Track on Computer Vision VIII,https://ojs.aaai.org/index.php/AAAI/article/view/37876,https://ojs.aaai.org/index.php/AAAI/article/view/37876/41838,4_Multimodal_RAG
Method,-,Patho-AgenticRAG: Towards Multimodal Agentic Retrieval-Augmented Generation for Pathology VLMs via Reinforcement Learning,"Wenchuan Zhang, Jingru Guo, Hengzhe Zhang, Penghao Zhang, Jie Chen, Shuwan Zhang, Zhang Zhang, Yuhao Yi, Hong Bu",AAAI Technical Track on Multiagent Systems,https://ojs.aaai.org/index.php/AAAI/article/view/40239,https://ojs.aaai.org/index.php/AAAI/article/view/40239/44200,4_Multimodal_RAG
