Type,Sub-category,Track,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Method,-,Main,FocusUI: Efficient UI Grounding via Position-Preserving Visual Token Selection,"Mingyu Ouyang, Kevin Qinghong Lin, Mike Zheng Shou, Hwee Tou Ng",https://openaccess.thecvf.com/content/CVPR2026/html/Ouyang_FocusUI_Efficient_UI_Grounding_via_Position-Preserving_Visual_Token_Selection_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ouyang_FocusUI_Efficient_UI_Grounding_via_Position-Preserving_Visual_Token_Selection_CVPR_2026_paper.pdf,https://arxiv.org/abs/2601.03928,6_GUI_Screen_adjacent
Method,-,Main,ShowUI-p: Flow-based Generative Models as GUI Dexterous Hands,"Siyuan Hu, Kevin Qinghong Lin, Mike Zheng Shou",https://openaccess.thecvf.com/content/CVPR2026/html/Hu_ShowUI-p_Flow-based_Generative_Models_as_GUI_Dexterous_Hands_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Hu_ShowUI-p_Flow-based_Generative_Models_as_GUI_Dexterous_Hands_CVPR_2026_paper.pdf,,6_GUI_Screen_adjacent
Method,-,Main,MVP: Multiple View Prediction Improves GUI Grounding,"Yunzhu Zhang, Zeyu Pan, Zhengwen Zeng, Shuheng Shen, Changhua Meng, Linchao Zhu",https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_MVP_Multiple_View_Prediction_Improves_GUI_Grounding_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_MVP_Multiple_View_Prediction_Improves_GUI_Grounding_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.08529,6_GUI_Screen_adjacent
Method,-,Main,Towards GUI Agents: Vision-Language Diffusion Models for GUI Grounding,"Shrinidhi Kumbhar, Haofu Liao, Srikar Appalaraju, Kunwar Yashraj Singh",https://openaccess.thecvf.com/content/CVPR2026/html/Kumbhar_Towards_GUI_Agents_Vision-Language_Diffusion_Models_for_GUI_Grounding_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Kumbhar_Towards_GUI_Agents_Vision-Language_Diffusion_Models_for_GUI_Grounding_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.26211,6_GUI_Screen_adjacent
Method,-,Main,DRS-GUI: Dynamic Region Search for Training-Free GUI Grounding,"Yichao Liu, Huawen Shen, Liu Yu, Shiyu Liu, Zeyu Chen, Yu Zhou",https://openaccess.thecvf.com/content/CVPR2026/html/Liu_DRS-GUI_Dynamic_Region_Search_for_Training-Free_GUI_Grounding_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_DRS-GUI_Dynamic_Region_Search_for_Training-Free_GUI_Grounding_CVPR_2026_paper.pdf,https://arxiv.org/abs/2605.15542,6_GUI_Screen_adjacent
Method,-,Main,HATS: Hardness-Aware Trajectory Synthesis for GUI Agents,"Rui Shao, Ruize Gao, Bin Xie, Yixing Li, Kaiwen Zhou, Shuai Wang, Weili Guan, Gongwei Chen",https://openaccess.thecvf.com/content/CVPR2026/html/Shao_HATS_Hardness-Aware_Trajectory_Synthesis_for_GUI_Agents_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Shao_HATS_Hardness-Aware_Trajectory_Synthesis_for_GUI_Agents_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.12138,6_GUI_Screen_adjacent
Method,-,Main,iSHIFT: Lightweight Slow-Fast GUI Agent with Adaptive Perception,"Sarthak Mehrotra, Sairam VC Rebbapragada, Mani Bonthu, Vineeth N. Balasubramanian",https://openaccess.thecvf.com/content/CVPR2026/html/Mehrotra_iSHIFT_Lightweight_Slow-Fast_GUI_Agent_with_Adaptive_Perception_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Mehrotra_iSHIFT_Lightweight_Slow-Fast_GUI_Agent_with_Adaptive_Perception_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.22009,6_GUI_Screen_adjacent
Method,-,Main,BAMI: Training-Free Bias Mitigation in GUI Grounding,"Borui Zhang, Bo Zhang, Bo Wang, Wenzhao Zheng, Yuhao Cheng, Liang Tang, Yiqiang Yan, Jie Zhou, Jiwen Lu",https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_BAMI_Training-Free_Bias_Mitigation_in_GUI_Grounding_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_BAMI_Training-Free_Bias_Mitigation_in_GUI_Grounding_CVPR_2026_paper.pdf,https://arxiv.org/abs/2605.06664,6_GUI_Screen_adjacent
Method,-,Findings,AndroidLens: Long-latency Evaluation with Nested Sub-targets for Android GUI Agents,"Yue Cao, Yingyao Wang, Pi Bu, Jingxuan Xing, Wei Jiang, Zekun Zhu, Junpeng Ma, Sashuai Zhou, Tong Lu, Jun Song, Yu Cheng, Yuning Jiang, Bo Zheng",https://openaccess.thecvf.com/content/CVPR2026F/html/Cao_AndroidLens_Long-latency_Evaluation_with_Nested_Sub-targets_for_Android_GUI_Agents_CVPRF_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026F/papers/Cao_AndroidLens_Long-latency_Evaluation_with_Nested_Sub-targets_for_Android_GUI_Agents_CVPRF_2026_paper.pdf,https://arxiv.org/abs/2512.21302,6_GUI_Screen_adjacent
Method,-,Findings,UI-AGILE: Advancing GUI Agents with Effective Reinforcement Learning and Precise Inference-Time Grounding,"Shuquan Lian, Yuhang Wu, Jia Ma, Yifan Ding, Zihan Song, Bingqi Chen, Xiawu Zheng, Hui Li, Rongrong Ji",https://openaccess.thecvf.com/content/CVPR2026F/html/Lian_UI-AGILE_Advancing_GUI_Agents_with_Effective_Reinforcement_Learning_and_Precise_CVPRF_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026F/papers/Lian_UI-AGILE_Advancing_GUI_Agents_with_Effective_Reinforcement_Learning_and_Precise_CVPRF_2026_paper.pdf,https://arxiv.org/abs/2507.22025,6_GUI_Screen_adjacent
Method,-,Findings,EchoTrail-GUI: Building Actionable Memory for GUI Agents via Critic-Guided Self-Exploration,"Runze Li, Yuwen Zhai, Bo Xu, Liwu Xu, Nian Shi, Wei Zhang, Ran Lin, Liang Wang",https://openaccess.thecvf.com/content/CVPR2026F/html/Li_EchoTrail-GUI_Building_Actionable_Memory_for_GUI_Agents_via_Critic-Guided_Self-Exploration_CVPRF_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026F/papers/Li_EchoTrail-GUI_Building_Actionable_Memory_for_GUI_Agents_via_Critic-Guided_Self-Exploration_CVPRF_2026_paper.pdf,https://arxiv.org/abs/2512.19396,6_GUI_Screen_adjacent
Method,-,Main,Widget2Code: From Visual Widgets to UI Code via Multimodal LLMs,"Houston H. Zhang, Tao Zhang, Baoze Lin, Yuanqi Xue, Yincheng Zhu, Huan Liu, Li Gu, Linfeng Ye, Ziqiang Wang, Xinxin Zuo, Yang Wang, Yuanhao Yu, Zhixiang Chi",https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Widget2Code_From_Visual_Widgets_to_UI_Code_via_Multimodal_LLMs_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Widget2Code_From_Visual_Widgets_to_UI_Code_via_Multimodal_LLMs_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.19918,6_GUI_Screen_adjacent
Dataset,-,Main,SO-Bench: A Structural Output Evaluation of Multimodal LLM,"Di Feng, Kaixin Ma, Feng Nan, Haofeng Chen, Bohan Zhai, David Griffiths, Mingfei Gao, Zhe Gan, Eshan Verma, Yinfei Yang, Zhifeng Chen, Afshin Dehghan",https://openaccess.thecvf.com/content/CVPR2026/html/Feng_SO-Bench_A_Structural_Output_Evaluation_of_Multimodal_LLM_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Feng_SO-Bench_A_Structural_Output_Evaluation_of_Multimodal_LLM_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.21750,7_Related_MLLM
Method,-,Main,"MiniCPM-V 4.5: Cooking Efficient MLLMs via Architecture, Data, and Training Recipe","Tianyu Yu, Zefan Wang, Chongyi Wang, Fuwei Huang, Wenshuo Ma, Zhihui He, Tianchi Cai, Weize Chen, Yuxiang Huang, Ranchi Zhao, Bokai Xu, Junbo Cui, Yingjing Xu, Liqing Ruan, Luoyuan Zhang, Hanyu Liu, Jingkun Tang, Hongyuan Liu, Qining Guo, Wenhao Hu, Bingxiang He, Jie Zhou, Jie Cai, Ji Qi, Zonghao Guo, Chi Chen, Guoyang Zeng, Yuxuan Li, Ganqu Cui, Ning Ding, Xu Han, Yuan Yao, Zhiyuan Liu, Maosong Sun",https://openaccess.thecvf.com/content/CVPR2026/html/Yu_MiniCPM-V_4.5_Cooking_Efficient_MLLMs_via_Architecture_Data_and_Training_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yu_MiniCPM-V_4.5_Cooking_Efficient_MLLMs_via_Architecture_Data_and_Training_CVPR_2026_paper.pdf,,7_Related_MLLM
Method,-,Main,"Same Content, Different Answers: Cross-Modal Inconsistency in MLLMs","Angela van Sprang, Laurens Samson, Ana Lucic, Erman Acar, Sennay Ghebreab, Yuki M. Asano",https://openaccess.thecvf.com/content/CVPR2026/html/van_Sprang_Same_Content_Different_Answers_Cross-Modal_Inconsistency_in_MLLMs_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/van_Sprang_Same_Content_Different_Answers_Cross-Modal_Inconsistency_in_MLLMs_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.08923,7_Related_MLLM
Method,-,Main,Text-Printed Image: Bridging the Image-Text Modality Gap for Text-centric Training of Large Vision-Language Models,"Shojiro Yamabe, Futa Waseda, Daiki Shiono, Tsubasa Takahashi",https://openaccess.thecvf.com/content/CVPR2026/html/Yamabe_Text-Printed_Image_Bridging_the_Image-Text_Modality_Gap_for_Text-centric_Training_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yamabe_Text-Printed_Image_Bridging_the_Image-Text_Modality_Gap_for_Text-centric_Training_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.03463,7_Related_MLLM
Method,-,Main,Exploring Visual Pretraining for Learning Language Intelligence,"Zhonghan Zhao, Yiming Zhang, Wenwei Zhang, Haiteng Zhao, Xingguang Wei, Zhangwei Gao, Kuikun Liu, Yuzhe Gu, Size Wu, Haian Huang, Jianfei Gao, Haijun Lv, Demin Song, Yunhua Zhou, Qipeng Guo, Gaoang Wang, Kai Chen",https://openaccess.thecvf.com/content/CVPR2026/html/Zhao_Exploring_Visual_Pretraining_for_Learning_Language_Intelligence_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_Exploring_Visual_Pretraining_for_Learning_Language_Intelligence_CVPR_2026_paper.pdf,,7_Related_MLLM
Method,-,Findings,VoQA: Visual-only Question Answering,"Jianing An, Luyang Jiang, Jie Luo, Wenjun Wu, Lei Huang",https://openaccess.thecvf.com/content/CVPR2026F/html/An_VoQA_Visual-only_Question_Answering_CVPRF_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026F/papers/An_VoQA_Visual-only_Question_Answering_CVPRF_2026_paper.pdf,https://arxiv.org/abs/2505.14227,7_Related_MLLM
