Type,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Method,METEOR: Multi-Encoder Collaborative Token Pruning for Efficient Vision Language Models,"Yuchen Liu, Yaoming Wang, Bowen Shi, Xiaopeng Zhang, Wenrui Dai, Chenglin Li, Hongkai Xiong, Qi Tian",https://openaccess.thecvf.com/content/ICCV2025/html/Liu_METEOR_Multi-Encoder_Collaborative_Token_Pruning_for_Efficient_Vision_Language_Models_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_METEOR_Multi-Encoder_Collaborative_Token_Pruning_for_Efficient_Vision_Language_Models_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.20842,5_VisualToken_HighRes
Method,Representation Shift: Unifying Token Compression with FlashAttention,"Joonmyung Choi, Sanghyeok Lee, Byungoh Ko, Eunseo Kim, Jihyung Kil, Hyunwoo J. Kim",https://openaccess.thecvf.com/content/ICCV2025/html/Choi_Representation_Shift_Unifying_Token_Compression_with_FlashAttention_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Choi_Representation_Shift_Unifying_Token_Compression_with_FlashAttention_ICCV_2025_paper.pdf,http://arxiv.org/abs/2508.00367,5_VisualToken_HighRes
Method,Feather the Throttle: Revisiting Visual Token Pruning for Vision-Language Model Acceleration,"Mark Endo, Xiaohan Wang, Serena Yeung-Levy",https://openaccess.thecvf.com/content/ICCV2025/html/Endo_Feather_the_Throttle_Revisiting_Visual_Token_Pruning_for_Vision-Language_Model_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Endo_Feather_the_Throttle_Revisiting_Visual_Token_Pruning_for_Vision-Language_Model_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.13180,5_VisualToken_HighRes
Method,LLaVA-PruMerge: Adaptive Token Reduction for Efficient Large Multimodal Models,"Yuzhang Shang, Mu Cai, Bingxin Xu, Yong Jae Lee, Yan Yan",https://openaccess.thecvf.com/content/ICCV2025/html/Shang_LLaVA-PruMerge_Adaptive_Token_Reduction_for_Efficient_Large_Multimodal_Models_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Shang_LLaVA-PruMerge_Adaptive_Token_Reduction_for_Efficient_Large_Multimodal_Models_ICCV_2025_paper.pdf,,5_VisualToken_HighRes
Method,FrameFusion: Combining Similarity and Importance for Video Token Reduction on Large Vision Language Models,"Tianyu Fu, Tengxuan Liu, Qinghao Han, Guohao Dai, Shengen Yan, Huazhong Yang, Xuefei Ning, Yu Wang",https://openaccess.thecvf.com/content/ICCV2025/html/Fu_FrameFusion_Combining_Similarity_and_Importance_for_Video_Token_Reduction_on_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Fu_FrameFusion_Combining_Similarity_and_Importance_for_Video_Token_Reduction_on_ICCV_2025_paper.pdf,http://arxiv.org/abs/2501.01986,5_VisualToken_HighRes
Method,Semantic Equitable Clustering: A Simple and Effective Strategy for Clustering Vision Tokens,"Qihang Fan, Huaibo Huang, Mingrui Chen, Ran He",https://openaccess.thecvf.com/content/ICCV2025/html/Fan_Semantic_Equitable_Clustering_A_Simple_and_Effective_Strategy_for_Clustering_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Fan_Semantic_Equitable_Clustering_A_Simple_and_Effective_Strategy_for_Clustering_ICCV_2025_paper.pdf,http://arxiv.org/abs/2405.13337,5_VisualToken_HighRes
Method,VFlowOpt: A Token Pruning Framework for LMMs with Visual Information Flow-Guided Optimization,"Sihan Yang, Runsen Xu, Chenhang Cui, Tai Wang, Dahua Lin, Jiangmiao Pang",https://openaccess.thecvf.com/content/ICCV2025/html/Yang_VFlowOpt_A_Token_Pruning_Framework_for_LMMs_with_Visual_Information_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Yang_VFlowOpt_A_Token_Pruning_Framework_for_LMMs_with_Visual_Information_ICCV_2025_paper.pdf,http://arxiv.org/abs/2508.05211,5_VisualToken_HighRes
Method,Beyond Text-Visual Attention: Exploiting Visual Cues for Effective Token Pruning in VLMs,"Qizhe Zhang, Aosong Cheng, Ming Lu, Renrui Zhang, Zhiyong Zhuo, Jiajun Cao, Shaobo Guo, Qi She, Shanghang Zhang",https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_Beyond_Text-Visual_Attention_Exploiting_Visual_Cues_for_Effective_Token_Pruning_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_Beyond_Text-Visual_Attention_Exploiting_Visual_Cues_for_Effective_Token_Pruning_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.01818,5_VisualToken_HighRes
Method,FALCON: Resolving Visual Redundancy and Fragmentation in High-resolution Multimodal Large Language Models via Visual Registers,"Renshan Zhang, Rui Shao, Gongwei Chen, Miao Zhang, Kaiwen Zhou, Weili Guan, Liqiang Nie",https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_FALCON_Resolving_Visual_Redundancy_and_Fragmentation_in_High-resolution_Multimodal_Large_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_FALCON_Resolving_Visual_Redundancy_and_Fragmentation_in_High-resolution_Multimodal_Large_ICCV_2025_paper.pdf,http://arxiv.org/abs/2501.16297,5_VisualToken_HighRes
Method,Griffon v2: Advancing Multimodal Perception with High-Resolution Scaling and Visual-Language Co-Referring,"Yufei Zhan, Shurong Zheng, Yousong Zhu, Hongyin Zhao, Fan Yang, Ming Tang, Jinqiao Wang",https://openaccess.thecvf.com/content/ICCV2025/html/Zhan_Griffon_v2_Advancing_Multimodal_Perception_with_High-Resolution_Scaling_and_Visual-Language_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhan_Griffon_v2_Advancing_Multimodal_Perception_with_High-Resolution_Scaling_and_Visual-Language_ICCV_2025_paper.pdf,http://arxiv.org/abs/2403.09333,5_VisualToken_HighRes
Method,V2PE: Improving Multimodal Long-Context Capability of Vision-Language Models with Variable Visual Position Encoding,"Junqi Ge, Ziyi Chen, Jintao Lin, Jinguo Zhu, Xihui Liu, Jifeng Dai, Xizhou Zhu",https://openaccess.thecvf.com/content/ICCV2025/html/Ge_V2PE_Improving_Multimodal_Long-Context_Capability_of_Vision-Language_Models_with_Variable_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Ge_V2PE_Improving_Multimodal_Long-Context_Capability_of_Vision-Language_Models_with_Variable_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.09616,5_VisualToken_HighRes
Dataset,GUIOdyssey: A Comprehensive Dataset for Cross-App GUI Navigation on Mobile Devices,"Quanfeng Lu, Wenqi Shao, Zitao Liu, Lingxiao Du, Fanqing Meng, Boxuan Li, Botong Chen, Siyuan Huang, Kaipeng Zhang, Ping Luo",https://openaccess.thecvf.com/content/ICCV2025/html/Lu_GUIOdyssey_A_Comprehensive_Dataset_for_Cross-App_GUI_Navigation_on_Mobile_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Lu_GUIOdyssey_A_Comprehensive_Dataset_for_Cross-App_GUI_Navigation_on_Mobile_ICCV_2025_paper.pdf,http://arxiv.org/abs/2406.08451,6_GUI_adjacent
Dataset,UIPro: Unleashing Superior Interaction Capability For GUI Agents,"Hongxin Li, Jingran Su, Jingfan Chen, Zheng Ju, Yuntao Chen, Qing Li, Zhaoxiang Zhang",https://openaccess.thecvf.com/content/ICCV2025/html/Li_UIPro_Unleashing_Superior_Interaction_Capability_For_GUI_Agents_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Li_UIPro_Unleashing_Superior_Interaction_Capability_For_GUI_Agents_ICCV_2025_paper.pdf,http://arxiv.org/abs/2509.17328,6_GUI_adjacent
Method,Less is More: Empowering GUI Agent with Context-Aware Simplification,"Gongwei Chen, Xurui Zhou, Rui Shao, Yibo Lyu, Kaiwen Zhou, Shuai Wang, Wentao Li, Yinchuan Li, Zhongang Qi, Liqiang Nie",https://openaccess.thecvf.com/content/ICCV2025/html/Chen_Less_is_More_Empowering_GUI_Agent_with_Context-Aware_Simplification_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Chen_Less_is_More_Empowering_GUI_Agent_with_Context-Aware_Simplification_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.03730,6_GUI_adjacent
Method,Iris: Breaking GUI Complexity with Adaptive Focus and Self-Refining,"Zhiqi Ge, Juncheng Li, Xinglei Pang, Minghe Gao, Kaihang Pan, Wang Lin, Hao Fei, Wenqiao Zhang, Siliang Tang, Yueting Zhuang",https://openaccess.thecvf.com/content/ICCV2025/html/Ge_Iris_Breaking_GUI_Complexity_with_Adaptive_Focus_and_Self-Refining_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Ge_Iris_Breaking_GUI_Complexity_with_Adaptive_Focus_and_Self-Refining_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.10342,6_GUI_adjacent
Method,Visual Test-time Scaling for GUI Agent Grounding,"Tiange Luo, Lajanugen Logeswaran, Justin Johnson, Honglak Lee",https://openaccess.thecvf.com/content/ICCV2025/html/Luo_Visual_Test-time_Scaling_for_GUI_Agent_Grounding_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Luo_Visual_Test-time_Scaling_for_GUI_Agent_Grounding_ICCV_2025_paper.pdf,http://arxiv.org/abs/2505.00684,6_GUI_adjacent
