No,Type,Title,Authors,Track,Paper_Link,PDF_Link,OpenReview
3144,Method,Beyond the Permutation Symmetry of Transformers: The Role of Rotation for Model Fusion,"Binchi Zhang, Zaiyi Zheng, Zhengzhang Chen, Jundong Li",Main,https://proceedings.mlr.press/v267/zhang25dk.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dk/zhang25dk.pdf,https://openreview.net/forum?id=wBJIO15pBV
3145,Method,Gap-Dependent Bounds for Federated $Q$-Learning,"Haochen Zhang, Zhong Zheng, Lingzhou Xue",Main,https://proceedings.mlr.press/v267/zhang25dl.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dl/zhang25dl.pdf,https://openreview.net/forum?id=0n2nXmOxZS
3146,Method,Inverse Flow and Consistency Models,"Yuchen Zhang, Jian Zhou",Main,https://proceedings.mlr.press/v267/zhang25dm.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dm/zhang25dm.pdf,https://openreview.net/forum?id=DpPUIOPY7C
3147,Method,Conformal Anomaly Detection in Event Sequences,"Shuai Zhang, Chuan Zhou, Yang Liu, Peng Zhang, Xixun Lin, Shirui Pan",Main,https://proceedings.mlr.press/v267/zhang25dn.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dn/zhang25dn.pdf,https://openreview.net/forum?id=Cq7XU5tmP8
3148,Method,The Four Color Theorem for Cell Instance Segmentation,"Ye Zhang, Yu Zhou, Yifeng Wang, Jun Xiao, Ziyue Wang, Yongbing Zhang, Jianxu Chen",Main,https://proceedings.mlr.press/v267/zhang25do.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25do/zhang25do.pdf,https://openreview.net/forum?id=VK8SuRaJfX
3149,Method,Efficient Skill Discovery via Regret-Aware Optimization,"He Zhang, Ming Zhou, Shaopeng Zhai, Ying Sun, Hui Xiong",Main,https://proceedings.mlr.press/v267/zhang25dp.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dp/zhang25dp.pdf,https://openreview.net/forum?id=4qMJ8Ignmp
3150,Method,Robust Multimodal Large Language Models Against Modality Conflict,"Zongmeng Zhang, Wengang Zhou, Jie Zhao, Houqiang Li",Main,https://proceedings.mlr.press/v267/zhang25dq.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dq/zhang25dq.pdf,https://openreview.net/forum?id=SP43jVv7fJ
3151,Method,ReinboT: Amplifying Robot Visual-Language Manipulation with Reinforcement Learning,"Hongyin Zhang, Zifeng Zhuang, Han Zhao, Pengxiang Ding, Hongchao Lu, Donglin Wang",Main,https://proceedings.mlr.press/v267/zhang25dr.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dr/zhang25dr.pdf,https://openreview.net/forum?id=Mzz4BhdIFb
3152,Method,Position: Trustworthy AI Agents Require the Integration of Large Language Models and Formal Methods,"Yedi Zhang, Yufan Cai, Xinyue Zuo, Xiaokun Luan, Kailong Wang, Zhe Hou, Yifan Zhang, Zhiyuan Wei, Meng Sun, Jun Sun, Jing Sun, Jin Song Dong",Position,https://proceedings.mlr.press/v267/zhang25ds.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25ds/zhang25ds.pdf,https://openreview.net/forum?id=wkisIZbntD
3153,Method,Position: Language model developers should report train-test overlap,"Andy K Zhang, Kevin Klyman, Yifan Mai, Yoav Levine, Yian Zhang, Rishi Bommasani, Percy Liang",Position,https://proceedings.mlr.press/v267/zhang25dt.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dt/zhang25dt.pdf,https://openreview.net/forum?id=J5MmGPWKfb
3154,Method,CostFilter-AD: Enhancing Anomaly Detection through Matching Cost Filtering,"Zhe Zhang, Mingxiu Cai, Hanxiao Wang, Gaochang Wu, Tianyou Chai, Xiatian Zhu",Main,https://proceedings.mlr.press/v267/zhang25e.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25e/zhang25e.pdf,https://openreview.net/forum?id=6p2wsBeYSs
