No,Type,Title,Authors,Decision,Paper_Link,PDF_Link
2872,Method,C$^2$Prompt: Class-aware Client Knowledge Interaction for Federated Continual Learning,"Kunlun Xu, Yibo Feng, Jiangmeng Li, Yongsheng Qi, Jiahuan Zhou",Accept (poster),https://openreview.net/forum?id=pKqLOmF3Lf,https://openreview.net/pdf?id=pKqLOmF3Lf
2873,Method,Anchor-based Maximum Discrepancy for Relative Similarity Testing,"Zhijian Zhou, Liuhua Peng, Xunye Tian, Feng Liu",Accept (poster),https://openreview.net/forum?id=PkSDCXP6LP,https://openreview.net/pdf?id=PkSDCXP6LP
2874,Method,Mask Image Watermarking,"Runyi Hu, Jie Zhang, Shiqian Zhao, Nils Lukas, Jiwei Li, Qing Guo, Han Qiu, Tianwei Zhang",Accept (poster),https://openreview.net/forum?id=da1u6Cy7Mq,https://openreview.net/pdf?id=da1u6Cy7Mq
2875,Method,KTAE: A Model-Free Algorithm to Key-Tokens Advantage Estimation in Mathematical Reasoning,"Wei Sun, Wen Yang, Pu Jian, Qianlong Du, Fuwei Cui, Shuo Ren, Jiajun Zhang",Accept (poster),https://openreview.net/forum?id=yqQVRNdmKJ,https://openreview.net/pdf?id=yqQVRNdmKJ
2876,Method,Contrastive Consolidation of Top-Down Modulations Achieves Sparsely Supervised Continual Learning,"Viet Anh Khoa Tran, Emre Neftci, Willem Wybo",Accept (poster),https://openreview.net/forum?id=pLDpenGIjl,https://openreview.net/pdf?id=pLDpenGIjl
2877,Method,Kinaema: a recurrent sequence model for memory and pose in motion,"Mert Bulent Sariyildiz, Philippe Weinzaepfel, Guillaume Bono, Gianluca Monaci, Christian Wolf",Accept (poster),https://openreview.net/forum?id=pOLpyGGOq8,https://openreview.net/pdf?id=pOLpyGGOq8
2878,Method,Are Large Language Models Sensitive to the Motives Behind Communication?,"Addison J. Wu, Ryan Liu, Kerem Oktar, Ted Sumers, Tom Griffiths",Accept (poster),https://openreview.net/forum?id=pQ8DeHXKMh,https://openreview.net/pdf?id=pQ8DeHXKMh
2879,Method,CoIDO: Efficient Data Selection for Visual Instruction Tuning via Coupled Importance-Diversity Optimization,"Yichen Yan, Ming Zhong, Qi Zhu, Xiaoling Gu, Jinpeng Chen, Huan Li",Accept (poster),https://openreview.net/forum?id=pXXKKBx8G0,https://openreview.net/pdf?id=pXXKKBx8G0
2880,Method,Lessons Learned: A Multi-Agent Framework for Code LLMs to Learn and Improve,"Yuanzhe Liu, Ryan Deng, Tim Kaler, Xuhao Chen, Charles Leiserson, Yao Ma, Jie Chen",Accept (poster),https://openreview.net/forum?id=pY65QWWFlm,https://openreview.net/pdf?id=pY65QWWFlm
2881,Method,Cooperative Bargaining Games Without Utilities: Mediated Solutions from Direction Oracles,"Kushagra Gupta, Surya Murthy, Mustafa Karabag, Ufuk Topcu, David Fridovich-Keil",Accept (poster),https://openreview.net/forum?id=DcpUkPHRJw,https://openreview.net/pdf?id=DcpUkPHRJw
2882,Method,Disentangled Concepts Speak Louder Than Words: Explainable Video Action Recognition,"Jongseo Lee, Wooil Lee, Gyeong-Moon Park, Seong Tae Kim, Jinwoo Choi",Accept (spotlight),https://openreview.net/forum?id=paRLw86ONU,https://openreview.net/pdf?id=paRLw86ONU
2883,Method,Tight Asymptotics of Extreme Order Statistics,"Matias Romero, Frederik Mallmann-Trenn, Jose Correa",Accept (poster),https://openreview.net/forum?id=padrqCRyCP,https://openreview.net/pdf?id=padrqCRyCP
2884,Method,Finding and Reactivating Post-Trained LLMs' Hidden Safety Mechanisms,"Mingjie Li, Wai Man Si, Michael Backes, Yang Zhang, Yisen Wang",Accept (poster),https://openreview.net/forum?id=pcG6NRJKu7,https://openreview.net/pdf?id=pcG6NRJKu7
2885,Method,Point Cloud Synthesis Using Inner Product Transforms,"Ernst Röell, Bastian Rieck",Accept (poster),https://openreview.net/forum?id=pceKiO7cEr,https://openreview.net/pdf?id=pceKiO7cEr
2886,Method,Individually Fair Diversity Maximization,"Ruien Li, Yanhao Wang",Accept (poster),https://openreview.net/forum?id=l2YPV99mnB,https://openreview.net/pdf?id=l2YPV99mnB
2887,Method,What Does It Take to Build a Performant Selective Classifier?,"Stephan Rabanser, Nicolas Papernot",Accept (poster),https://openreview.net/forum?id=pcwI5cNFJK,https://openreview.net/pdf?id=pcwI5cNFJK
2888,Method,Parameter Dynamics of Online Machine Learning and Test-time Adaptation,Jae-Hong Lee,Accept (poster),https://openreview.net/forum?id=pdlepT2alu,https://openreview.net/pdf?id=pdlepT2alu
2889,Method,Machine Unlearning via Task Simplex Arithmetic,"Junhao Dong, Hao Zhu, Yifei Zhang, Xinghua Qu, Yew Soon Ong, Piotr Koniusz",Accept (poster),https://openreview.net/forum?id=pe92NSPLE8,https://openreview.net/pdf?id=pe92NSPLE8
2890,Method,Kinetics: Rethinking Test-Time Scaling Law,"Ranajoy Sadhukhan, Zhuoming Chen, Haizhong Zheng, Beidi Chen",Accept (poster),https://openreview.net/forum?id=phWwTrrJFv,https://openreview.net/pdf?id=phWwTrrJFv
2891,Method,Differential Privacy on Fully Dynamic Streams,"Yuan Qiu, Ke Yi",Accept (spotlight),https://openreview.net/forum?id=piM21sPyVL,https://openreview.net/pdf?id=piM21sPyVL
2892,Method,Neural Atlas Graphs for Dynamic Scene Decomposition and Editing,"Jan Philipp Schneider, Pratik S. Bisht, Ilya Chugunov, Andreas Kolb, Michael Moeller, Felix Heide",Accept (spotlight),https://openreview.net/forum?id=pkuVonMwhT,https://openreview.net/pdf?id=pkuVonMwhT
2893,Method,CausalVTG: Towards Robust Video Temporal Grounding via Causal Inference,"Qiyi Wang, Senda Chen, Ying Shen",Accept (poster),https://openreview.net/forum?id=oeWgBOowL6,https://openreview.net/pdf?id=oeWgBOowL6
2894,Method,SQS: Enhancing Sparse Perception Models via Query-based Splatting in Autonomous Driving,"Haiming Zhang, Yiyao Zhu, Wending Zhou, Xu Yan, Yingjie CAI, Bingbing Liu, Shuguang Cui, Zhen Li",Accept (spotlight),https://openreview.net/forum?id=plpAecfkf4,https://openreview.net/pdf?id=plpAecfkf4
2895,Method,PolyVivid: Vivid Multi-Subject Video Generation with Cross-Modal Interaction and Enhancement,"Teng Hu, Zhentao Yu, Zhengguang Zhou, Jiangning Zhang, Yuan Zhou, Qinglin Lu, Ran Yi",Accept (poster),https://openreview.net/forum?id=plrg87MP0F,https://openreview.net/pdf?id=plrg87MP0F
2896,Method,Can Knowledge-Graph-based Retrieval Augmented Generation Really Retrieve What You Need?,"Junchi Yu, Yujie Liu, Jindong Gu, Philip Torr, Dongzhan Zhou",Accept (spotlight),https://openreview.net/forum?id=po0eyoYFUa,https://openreview.net/pdf?id=po0eyoYFUa
2897,Method,DP-LLM: Runtime Model Adaptation with Dynamic Layer-wise Precision Assignment,"Sangwoo Kwon, Seong Hoon Seo, Jae W. Lee, Yeonhong Park",Accept (poster),https://openreview.net/forum?id=ppKDXf55lY,https://openreview.net/pdf?id=ppKDXf55lY
2898,Method,A Partition Cover Approach to Tokenization,"Jia Peng Lim, Shawn Tan, XianJun, Davin Choo, Hady Lauw",Accept (poster),https://openreview.net/forum?id=prGyR9id7X,https://openreview.net/pdf?id=prGyR9id7X
2899,Method,Online robust locally differentially private learning for nonparametric regression,"Chenfei Gu, Qiangqiang Zhang, Ting Li, Jinhan Xie, Niansheng Tang",Accept (poster),https://openreview.net/forum?id=prm9Y3jM0R,https://openreview.net/pdf?id=prm9Y3jM0R
2900,Method,Thinker: Learning to Think Fast and Slow,"Stephen Chung, Wenyu Du, Jie Fu",Accept (poster),https://openreview.net/forum?id=psfk761b6H,https://openreview.net/pdf?id=psfk761b6H
2901,Method,DynaPhArM: Adaptive and Physics-Constrained Modeling for Target-Drug Complexes with Drug-Specific Adaptations,"Diya Zhang, Mengwei Sun, Xingdan Wang, Cheng Liang, Qiaozhen Meng, Shiqiang Ma, Fei Guo",Accept (poster),https://openreview.net/forum?id=pv964N1RYb,https://openreview.net/pdf?id=pv964N1RYb
2902,Method,Text-Aware Real-World Image Super-Resolution via Diffusion Model with Joint Segmentation Decoders,"Qiming Hu, Linlong Fan, Yiyan Luo, Yuhang Yu, Xiaojie Guo, Qingnan Fan",Accept (poster),https://openreview.net/forum?id=px9GwMjloi,https://openreview.net/pdf?id=px9GwMjloi
2903,Method,Self Iterative Label Refinement via Robust Unlabeled Learning,"Hikaru Asano, Tadashi Kozuno, Yukino Baba",Accept (poster),https://openreview.net/forum?id=pzAeKALSfX,https://openreview.net/pdf?id=pzAeKALSfX
2904,Method,LoRATv2: Enabling Low-Cost Temporal Modeling in One-Stream Trackers,"Liting Lin, Heng Fan, Zhipeng Zhang, Yuqing Huang, Yaowei Wang, Yong Xu, Haibin Ling",Accept (spotlight),https://openreview.net/forum?id=q06YjUj0FB,https://openreview.net/pdf?id=q06YjUj0FB
2905,Method,Consistent Story Generation: Unlocking the Potential of Zigzag Sampling,"Mingxiao Li, Mang Ning, Marie-Francine Moens",Accept (poster),https://openreview.net/forum?id=q0g3CPS96G,https://openreview.net/pdf?id=q0g3CPS96G
2906,Method,Uni-Instruct: One-step Diffusion Model through Unified Diffusion Divergence Instruction,"Yifei Wang, Weimin Bai, colin zhang, Debing Zhang, Weijian Luo, He Sun",Accept (poster),https://openreview.net/forum?id=q1acmWAO9r,https://openreview.net/pdf?id=q1acmWAO9r
