No,Type,Vol_Issue,Published,Title,Authors,Pages,DOI,Paper_Link
610,Method,48(7),2026-7,Few-Shot Action Recognition via Intra- and Inter-Video Information Maximization,"Huabin Liu, Tieyuan Chen, Yuxi Li, Shuyuan Li, John See, Weiyao Lin",8250-8268,10.1109/tpami.2026.3674176,https://doi.org/10.1109/tpami.2026.3674176
611,Method,48(8),2026-8,DGPDL: Domain-Guided Prompt Distribution Learning for Generalizable Face Anti-Spoofing,"Ajian Liu, Xun Lin, Ruicong Zhi, Yanyan Liang, Xinshan Zhu, Zhanchuan Cai, Jun Wan, Sergio Escalera, Zhen Lei",8953-8969,10.1109/tpami.2026.3674204,https://doi.org/10.1109/tpami.2026.3674204
612,Method,48(8),2026-8,ChatTracker: Enhancing Visual Tracking via LLM-Driven Iterative Description Refinement,"Yu Zhang, Yiming Sun, Mi Zhang, Fan Yu, Shaoxiang Chen, Yang Li, Changbo Wang, Jianke Zhu, Steven C.H. Hoi",8831-8847,10.1109/tpami.2026.3674357,https://doi.org/10.1109/tpami.2026.3674357
613,Method,48(8),2026-8,From Channel Bias to Feature Redundancy: Uncovering the “Less is More” Principle in Few-Shot Learning,"Ji Zhang, Xu Luo, Lianli Gao, Difan Zou, Heng Tao Shen, Jingkuan Song",8866-8881,10.1109/tpami.2026.3674435,https://doi.org/10.1109/tpami.2026.3674435
614,Method,48(7),2026-7,On Demographic Group Fairness Guarantees in Deep Learning,"Yan Luo, Congcong Wen, Min Shi, Hao Huang, Yi Fang, Mengyu Wang",8075-8092,10.1109/tpami.2026.3674484,https://doi.org/10.1109/tpami.2026.3674484
615,Method,48(8),2026-8,Toward Ultrafast Depth Sensing via Active Event-Based Stereo Vision,"Jianing Li, Yunjian Zhang, Haiqian Han, Kangyao Huang, Xiangyang Ji",8848-8865,10.1109/tpami.2026.3674575,https://doi.org/10.1109/tpami.2026.3674575
616,Method,48(8),2026-8,Beyond Support Samples: Incorporating Unlabeled Queries for Few-Shot Semantic Segmentation,"Yuanwei Liu, Nian Liu, Tao Jiang, Yi Wu, Xiwen Yao, Junwei Han",8882-8900,10.1109/tpami.2026.3674742,https://doi.org/10.1109/tpami.2026.3674742
617,Method,48(7),2026-7,Knowledge-Embedded Hypergraph Neural Networks,"Yifan Feng, Yifan Zhang, Shaoyi Du, Shihui Ying, Zongze Wu, Yue Gao",8613-8625,10.1109/tpami.2026.3674800,https://doi.org/10.1109/tpami.2026.3674800
618,Method,48(8),2026-8,Collaborative Multi-Modal Coding for High-Quality 3D Generation,"Ziang Cao, Zhaoxi Chen, Liang Pan, Ziwei Liu",9168-9179,10.1109/tpami.2026.3674943,https://doi.org/10.1109/tpami.2026.3674943
619,Method,48(7),2026-7,"Improved and Accelerated Text-to-Image Generation With Collect, Reflect, and Refine","Shitong Shao, Zikai Zhou, Dian Xie, Yuetong Fang, Tian Ye, Lichen Bai, Bo Han, Zeke Xie",8567-8580,10.1109/tpami.2026.3674984,https://doi.org/10.1109/tpami.2026.3674984
620,Method,48(8),2026-8,Mirror Descent Safe Policy Optimization for Reinforcement Learning Agents,"Renzhi Lu, Ning Wu, Qingqing Xiong, Yifang Shi, Dongrui Wu, Tao Yang, Yaochu Jin, Lihua Xie",9142-9155,10.1109/tpami.2026.3674995,https://doi.org/10.1109/tpami.2026.3674995
621,Method,48(7),2026-7,Diving Into Epipolar Transformers for Light Field Super-Resolution and Disparity Estimation,"Zhengyu Liang, Yingqian Wang, Longguang Wang, Jungang Yang, Yulan Guo, Li Liu, Shilin Zhou, Wei An",8726-8743,10.1109/tpami.2026.3674997,https://doi.org/10.1109/tpami.2026.3674997
622,Method,48(8),2026-8,Sparse Variational Information Bottleneck Gaussian Processes for Uncertainty Estimation,"Liang Mao, Shiliang Sun",9297-9311,10.1109/tpami.2026.3675000,https://doi.org/10.1109/tpami.2026.3675000
623,Method,48(8),2026-8,Revisiting Face Forgery Detection: From Facial Representation to Forgery Detection,"Zonghui Guo, Yingjie Liu, Jie Zhang, Haiyong Zheng, Shiguang Shan",9228-9244,10.1109/tpami.2026.3675018,https://doi.org/10.1109/tpami.2026.3675018
624,Method,48(8),2026-8,HIMO: Cross-Arbitrary-Modality Image Invariant Feature Transform With Hierarchical Intrinsic Major Orientation,"Chenzhong Gao, Wei Li, Desheng Weng, Ran Tao, Xiang-Gen Xia, Qian Du",9001-9018,10.1109/tpami.2026.3675028,https://doi.org/10.1109/tpami.2026.3675028
625,Method,48(8),2026-8,Distilling Object Detectors via Monte Carlo Dropout,"Junfei Yi, Hui Zhang, Jianxu Mao, Tengfei Liu, Mingjie Li, Sihao Lin, Hanyu Gu, Zhihui Li, Xiaojun Chang, Yaonan Wang",9050-9063,10.1109/tpami.2026.3674980,https://doi.org/10.1109/tpami.2026.3674980
626,Method,48(8),2026-8,Track-On2: Enhancing Online Point Tracking With Memory,"Görkay Aydemir, Weidi Xie, Fatma Güney",9263-9278,10.1109/tpami.2026.3675257,https://doi.org/10.1109/tpami.2026.3675257
627,Method,48(8),2026-8,Interacted Planes Reveal 3D Line Mapping,"Zeran Ke, Bin Tan, Gui-Song Xia, Yujun Shen, Nan Xue",9019-9034,10.1109/tpami.2026.3675287,https://doi.org/10.1109/tpami.2026.3675287
628,Method,48(7),2026-7,Class-Distribution-Aware Pseudo-Labeling for Semi-Supervised Multi-Label Learning,"Ming-Kun Xie, Jia-Hao Xiao, Hao-Zhe Liu, Gang Niu, Masashi Sugiyama, Sheng-Jun Huang",8444-8455,10.1109/tpami.2026.3673840,https://doi.org/10.1109/tpami.2026.3673840
629,Method,48(8),2026-8,Principled Multimodal Representation Learning,"Xiaohao Liu, Xiaobo Xia, See-Kiong Ng, Tat-Seng Chua",9114-9128,10.1109/tpami.2026.3675685,https://doi.org/10.1109/tpami.2026.3675685
630,Method,48(7),2026-7,Graph Condensation via Homophily Node Refining and Fine-Grained Distribution Matching,"Ruiwen Yuan, Yongqiang Tang, Wensheng Zhang",8626-8641,10.1109/tpami.2026.3672916,https://doi.org/10.1109/tpami.2026.3672916
631,Method,48(8),2026-8,Modality Equilibrium Matters: Minor-Modality-Aware Adaptive Alternating for Cross-Modal Memory Enhancement,"Xiang Shi, Rui Zhang, Jiawei Liu, Yinpeng Liu, Zhu Liang, Qikai Cheng, Wei Lu",10176-10183,10.1109/tpami.2026.3676535,https://doi.org/10.1109/tpami.2026.3676535
632,Method,48(8),2026-8,Fast and Scalable Hashing-Based Universal Graph Coarsening,"Mohit Kataria, Nikita Malik, Jayadeva, Sandeep Kumar",9245-9262,10.1109/tpami.2026.3676633,https://doi.org/10.1109/tpami.2026.3676633
633,Method,48(8),2026-8,"Out-of-Sight Embodied Agents: Multimodal Tracking, Sensor Fusion, and Trajectory Forecasting","Haichao Zhang, Yi Xu, Yun Fu",9129-9141,10.1109/tpami.2026.3676710,https://doi.org/10.1109/tpami.2026.3676710
634,Method,48(8),2026-8,One-Step Diffusion and Flow Distillation Through Implicit Generator Matching,"Zemin Huang, Weijian Luo, Zhengyang Geng, Guojun Qi",9156-9167,10.1109/tpami.2026.3676894,https://doi.org/10.1109/tpami.2026.3676894
635,Method,48(8),2026-8,Discrete Tokenization for Multimodal LLMs: A Comprehensive Survey,"Jindong Li, Yali Fu, Jiahong Liu, Linxiao Cao, Wei Ji, Menglin Yang, Irwin King, Ming-Hsuan Yang",9093-9113,10.1109/tpami.2026.3676982,https://doi.org/10.1109/tpami.2026.3676982
636,Method,48(8),2026-8,Stability and Generalization for Distributed SGDA,"Miaoxi Zhu, Yan Sun, Li Shen, Bo Du, Dacheng Tao",9197-9209,10.1109/tpami.2026.3677027,https://doi.org/10.1109/tpami.2026.3677027
637,Method,48(8),2026-8,Understanding the Effects of Projectors in Knowledge Distillation,"Yudong Chen, Sen Wang, Jiajun Liu, Xuwei Xu, Frank de Hoog, Brano Kusy, Zi Huang",9078-9092,10.1109/tpami.2026.3677028,https://doi.org/10.1109/tpami.2026.3677028
638,Method,48(8),2026-8,OmniParser V2: Structured-Points-of-Thought for Unified Visual Text Parsing and Its Generality to Multimodal Large Language Models,"Wenwen Yu, Zhibo Yang, Jianqiang Wan, Sibo Song, Jun Tang, Wenqing Cheng, Yuliang Liu, Xiang Bai",9210-9227,10.1109/tpami.2026.3677075,https://doi.org/10.1109/tpami.2026.3677075
639,Method,48(7),2026-7,Prompt is All You Need: Prompting Foundation Models for Large-Scale Self-Supervised Semantic Segmentation,"Jiaojiao Su, Qiwu Luo, Shuzhou Sun, Yuenan Hou, Xinyu Zhang, Janne Heikkilä, Chunhua Yang, Li Liu",8642-8660,10.1109/tpami.2026.3673339,https://doi.org/10.1109/tpami.2026.3673339
640,Method,48(8),2026-8,SHADOW: Secure Hidden Authenticating Digital Objects in the Wild,Daniel Riccio,9323-9336,10.1109/tpami.2026.3679257,https://doi.org/10.1109/tpami.2026.3679257
641,Method,48(8),2026-8,Multi-View Clustering via Bilaterally Constrained Anchor Graph,"Qianyao Qiang, Bin Zhang, Yunjia Hua, Feiping Nie",9064-9077,10.1109/tpami.2026.3678628,https://doi.org/10.1109/tpami.2026.3678628
642,Method,48(8),2026-8,Dual Geometry Margin Optimization for Coupled-Noisy Robust Ensemble Learning,"Zheng Wang, Guanxiong He, Jie Wang, Runxin Zhang, Liaoyuan Tang, Rong Wang, Feiping Nie",9434-9449,10.1109/tpami.2026.3679394,https://doi.org/10.1109/tpami.2026.3679394
643,Method,48(8),2026-8,Harnessing Meta-Learning for Controllable Full-Frame Video Stabilization,"Muhammad Kashif Ali, Eun Woo Im, Dongjin Kim, Tae Hyun Kim, Vivek Gupta, Haonan Luo, Tianrui Li",9180-9196,10.1109/tpami.2026.3679401,https://doi.org/10.1109/tpami.2026.3679401
644,Method,48(8),2026-8,MAN++: Scaling Momentum Auxiliary Network for Supervised Local Learning in Vision Tasks,"Junhao Su, Feiyu Zhu, Hengyu Shi, Tianyang Han, Yurui Qiu, Junfeng Luo, Xiaoming Wei, Jialin Gao",9537-9551,10.1109/tpami.2026.3679406,https://doi.org/10.1109/tpami.2026.3679406
645,Method,48(8),2026-8,Dictionary Multi-Modal Temporal Graph Learning,"Meng Liu, Ke Liang, Miaomiao Li, Xueling Zhu, Xinwang Liu",9606-9623,10.1109/tpami.2026.3679419,https://doi.org/10.1109/tpami.2026.3679419
646,Method,48(8),2026-8,Dream to Recall: Imagination-Guided Experience Retrieval for Memory-Persistent Vision-and-Language Navigation,"Yunzhe Xu, Yiyuan Pan, Zhe Liu",9035-9049,10.1109/tpami.2026.3679426,https://doi.org/10.1109/tpami.2026.3679426
647,Method,48(8),2026-8,Chat-Scene++: Exploiting Context-Rich Object Identification for 3D LLM,"Haifeng Huang, Yilun Chen, Zehan Wang, Jiangmiao Pang, Zhou Zhao",9813-9825,10.1109/tpami.2026.3679561,https://doi.org/10.1109/tpami.2026.3679561
