No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
183,Method,PSM: Prompt specialization module for prompt-based continual learning,"Jun Liu, Qinyue Tong, Zheming Lu, Ziqian Lu",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104798,https://doi.org/10.1016/j.cviu.2026.104798
184,Method,Gain from prior: Incremental few-shot instance segmentation via knowledge-retention transfer and negative proposal calibration,"Weixiang Gao, Caijuan Shi, Yuanzhouhan Cao, Ao Cai",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104799,https://doi.org/10.1016/j.cviu.2026.104799
185,Method,Phase-based video motion magnification with handheld cameras,"Zongdi Zang, Xuezhi Yang, Gang Zhang, Qin Xu",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104806,https://doi.org/10.1016/j.cviu.2026.104806
186,Method,HL-SLAM: Hybrid optimization and loop scene correction for NeRF-SLAM,"Xu Lu, Kejie Zhong, Cheng Zhou, Hanyuan Huang, Xuecai Guo, Hongdan Huang, Jun Liu, Xinyu Wu",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104808,https://doi.org/10.1016/j.cviu.2026.104808
187,Method,NF-DCL: Enhancing video anomaly detection with synthetic normal features and Debiased Contrastive Learning,"Nga Nguyen, Kien Nguyen, Cong Tran, Cuong Pham",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104811,https://doi.org/10.1016/j.cviu.2026.104811
188,Method,DiffuseFit: Shape-guided warping and limb-aware diffusion synthesis for occlusion-resilient and semantically consistent virtual try-on,"Tareq Mahmod AlZubi, Umar Raza Mukhtar, Omar A. Alzubi, Hamza Mukhtar",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104807,https://doi.org/10.1016/j.cviu.2026.104807
189,Method,OFCA-Net: An explainable optical flow-based framework for face forgery detection,"Dengtai Tan, Yang Yang, Chengyu Niu, Boao Tan, Deyi Yang",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104810,https://doi.org/10.1016/j.cviu.2026.104810
190,Method,Towards robust 3D human reconstruction with uncertainty-aware low-rank adaptation,"Inho Chang, Jumi Kang, Yong-Hoon Kwon, Ju Hong Yoon, Min-Gyu Park",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104813,https://doi.org/10.1016/j.cviu.2026.104813
191,Method,Invisibility stickers against LiDAR: Adversarial attacks on point cloud intensity for LiDAR-based object detection,"Junqi Wu, Wen Yao, Zijian Zhu, Donghua Wang, Jiahuan Long, Hanqing Liu, Tingsong Jiang, Liang Xiao, Xiaoya Zhang, Yang Yang, Chengyin Hu, Chao Ma",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104812,https://doi.org/10.1016/j.cviu.2026.104812
192,Method,Are Candidate Models Really Needed for Active Learning?,"Harshini Mridula Mohan, Maanya Manjunath, Vipul Arya, Shabbeer Basha S.H., Nitin Cheekatla",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104809,https://doi.org/10.1016/j.cviu.2026.104809
193,Method,A semantic-guided frequency enhancement network for image forgery detection,"Zhuang Miao, Yifan Hou, Jiabao Wang, Zhengwen Zhang, Rui Zhang, Yang Li",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104796,https://doi.org/10.1016/j.cviu.2026.104796
194,Method,MAS-Net: A medical image segmentation method based on memory augmentation and supplementation,"Xiaoyan Zhang, Zheng Zhao, Weiqiang Sun, Yongqin Zhang, Chunlin Yu, Xiangfu Meng",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104816,https://doi.org/10.1016/j.cviu.2026.104816
195,Method,Text-guided context learning for multi-source domain adaptation,"Bo Zhou, Long Liu, Chenyue Fan, Zhipeng Zhao",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104818,https://doi.org/10.1016/j.cviu.2026.104818
196,Method,A Driving Oriented Objectness score for detecting known and unknown objects in road scenes,"Corentin Bunel, Maxime Gueriau, Gilles Gasso, Samia Ainouz",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104821,https://doi.org/10.1016/j.cviu.2026.104821
197,Method,SGMP: Spatial-Semantic Guided Motion-Perception for infrared small targets,"Wei Zhang, Tao Liu, Tianhang Guan, Jia Gao",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104817,https://doi.org/10.1016/j.cviu.2026.104817
198,Method,Occlusion-aware low-rank learning framework for facial expression recognition,"Yanzhong Wang, Daming Shi, Muhammad Sadiq",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104820,https://doi.org/10.1016/j.cviu.2026.104820
199,Method,DiTalker: A unified DiT-based framework for high-quality and style-controllable portrait animation,"He Feng, Yongjia Ma, Lei Fan, Donglin Di, Tonghua Su",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104819,https://doi.org/10.1016/j.cviu.2026.104819
200,Method,PointCaM: Cut-and-Mix for open-set point cloud learning,"Jie Hong, Shi Qiu, Weihao Li, Saeed Anwar, Mehrtash Harandi, Nick Barnes, Lars Petersson",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104814,https://doi.org/10.1016/j.cviu.2026.104814
201,Method,DLANet: A lightweight dual-stream framework with fine-grained spatio-temporal attention for micro-expression recognition,"Xianjing Zhong, Kai Qu, Tianyi Fan, Hui Cao, Jie Zhang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104823,https://doi.org/10.1016/j.cviu.2026.104823
202,Method,Aligning video regions with action descriptions for open-vocabulary spatio-temporal action detection,"Tao Wu, Shuqiu Ge, Jiaqi Li, Xi Chen, Liang Li, Limin Wang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104825,https://doi.org/10.1016/j.cviu.2026.104825
203,Method,Exploring real–synthetic boundaries in diffusion latent space,"Simone Bonechi, Paolo Andreini, Barbara Toniella Corradini",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104815,https://doi.org/10.1016/j.cviu.2026.104815
204,Method,Image denoising model based on edge structure guidance and frequency-domain/spatial-domain coupling,"Yuchen Xie, Baoji Ma, Han Shen",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104824,https://doi.org/10.1016/j.cviu.2026.104824
205,Method,HM-AEE: A hierarchical model with attention effect evaluation mechanism for fine-grained vehicle classification,"Liuxin Che, Jiangtao Ren",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104833,https://doi.org/10.1016/j.cviu.2026.104833
206,Method,A turbo-inference strategy for object detection and instance segmentation,"Zhen Zhao, Gang Zhang, Xiaolin Hu, Liang Tang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104827,https://doi.org/10.1016/j.cviu.2026.104827
207,Method,OCC-MLLM-V1: Occlusion reasoning with commonsense-guided Multi-modal LLM based agent via internal Chain-of-Thoughts (CoTs),"Chaoyi Wang, Qingdong He, Jun Pei, Lijie Xia, Jianpo Liu, Baoqing Li, Xinhan Di",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104828,https://doi.org/10.1016/j.cviu.2026.104828
208,Method,Superpixel segmentation: A long-lasting ill-posed problem,"Rémi Giraud, Michaël Clément",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104831,https://doi.org/10.1016/j.cviu.2026.104831
209,Method,M-Control: Improving text–image consistency via Mask-Guided ControlNet,"Xinlong Zhang, Jia Wei, Wei Li, Zejian Li, Yongxing He, Yongchuan Tang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104832,https://doi.org/10.1016/j.cviu.2026.104832
210,Method,StART: A pre-trained style-aware adaptive routing Transformer for limited-data and general-purpose image style transfer,"Jingyun Liu, Han Liu, Shuo Tong, Runyuan Guo, Wenqing Wang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104829,https://doi.org/10.1016/j.cviu.2026.104829
211,Method,Synergistic Dual-Graph Co-Evolutionary Network for point-supervised temporal action localization,"Pengfei Yan, Xu Cui, Laiyun Qing, Guorong Li, Qingming Huang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104830,https://doi.org/10.1016/j.cviu.2026.104830
212,Method,Vision-based mistake analysis in procedural activities: A review of advances and challenges,"Konstantinos Bacharidis, Antonis Argyros",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104842,https://doi.org/10.1016/j.cviu.2026.104842
213,Method,MMACA-RAC: A multi-stage multimodal fusion framework with auto-correlation attention for repetitive action counting,"Huaiyang Liu, Jun Ruan, Haifeng Zheng",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104846,https://doi.org/10.1016/j.cviu.2026.104846
214,Method,Extended Nmix (ENmix): An efficient self-supervised contrastive learning framework,"Yash Kumar Sharma, Akshay Badola, Vineet Padmanabhan, Wilson Naik, Abdul Sattar",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104841,https://doi.org/10.1016/j.cviu.2026.104841
215,Method,MS2MUnet: A Multi-Scale Spectral Mamba U-Net for medical image segmentation,"Shangwang Liu, Defu Wan, Mengjiao Zhao, Jinhang Zhang, Guoqi Liu, Hualei Shen",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104843,https://doi.org/10.1016/j.cviu.2026.104843
216,Method,Towards robust medical image segmentation: Spectro-spatial domain generalization with MRAM and DMIR,"Yuqi Li, Junhao Dong, Hansheng Zeng, Fuyan Zhang, Zeyu Dong, Chuanguang Yang, Yingli Tian",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104822,https://doi.org/10.1016/j.cviu.2026.104822
217,Method,EAUAV-YOLO: An efficiency and accuracy enhanced lightweight detector for small objects in aerial images,"Wankun Shan, Na Liu, Yuanqing Jiang, Hongxing Wu, Hui Xiao, Xuefeng Li",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104845,https://doi.org/10.1016/j.cviu.2026.104845
218,Method,UGLF: Uncertainty-Gated Global–Local Fusion for generalizable face forgery detection,"Shufan Peng, Siju Hu, Tianliang Lu, Chunhao He, Yingjie Ren, Yujin Li",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104847,https://doi.org/10.1016/j.cviu.2026.104847
219,Method,Proto-LeakNet: Towards signal-leak aware attribution in synthetic human face imagery,"Claudio Giusti, Luca Guarnera, Sebastiano Battiato",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104848,https://doi.org/10.1016/j.cviu.2026.104848
220,Method,A survey of emerging approaches and advances in video generation,"Elnaz Soleimani, Ghazaleh Khodabandelou",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104851,https://doi.org/10.1016/j.cviu.2026.104851
221,Method,Saliency-guided difference enhancement model for video anomaly detection,"Qing Ye, Yue Lei, Zihan Song, Yongmei Zhang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104850,https://doi.org/10.1016/j.cviu.2026.104850
222,Method,Semantic-Weighted Spatio-Temporal Graphs for Structured Video Understanding and Captioning,"Vibhor Sharma, Anurag Singh, Sabrina Gaito",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104853,https://doi.org/10.1016/j.cviu.2026.104853
223,Method,SSGF: Structural Semantic Guidance and Spatial Stereo Focusing for cloth-changing person re-identification,"Huilin Liu, Chenxi Hu, Wanqi Ma, Xiaolong Li, Chang Su, Junshuo Hu",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104852,https://doi.org/10.1016/j.cviu.2026.104852
224,Method,Looking into the unknown: Exploring Action Discovery for segmentation of known and unknown actions,"Federico Spurio, Emad Bahrami, Olga Zatsarynna, Yazan Abu Farha, Gianpiero Francesca, Juergen Gall",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104849,https://doi.org/10.1016/j.cviu.2026.104849
225,Method,Redundancy-aware memory update for improved video object segmentation,"Nian Shi, Yubing Luo, Fengbin Yang, Jianchao Zeng, Pinle Qin, Wenyu Chen, Pengcheng Zhao",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104857,https://doi.org/10.1016/j.cviu.2026.104857
226,Method,IWC-DiF: Learning a generalizable NeRF by incremental weight consolidation of dictionary fields,"Ke Ma, Lin Wang, Fan Jia, Huibin Li",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104855,https://doi.org/10.1016/j.cviu.2026.104855
227,Method,LiveNeRF: Efficient face replacement through Neural Radiance Fields integration,"Tung Vu, Hai Nguyen, Cong Tran",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104856,https://doi.org/10.1016/j.cviu.2026.104856
228,Method,Prompt-guided dual-path UNet with Mamba for medical image segmentation,"Shaolei Zhang, Jinyan Liu, Tianyi Qian, Xuesong Li",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104858,https://doi.org/10.1016/j.cviu.2026.104858
229,Method,Interpreting face spoofing vulnerabilities and their countermeasures: State-of-the-art and future perspectives,"Bharti Thakur, Arvind Selwal, Ambreen Sabha",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104861,https://doi.org/10.1016/j.cviu.2026.104861
230,Method,A lightweight dual-branch spatial-frequency framework for joint deepfake detection and localization,"Duc Viet Bui, Tung Duong Tran, Huu Dao Tran, Van Kien Dinh, Duc Cuong Pham, Tuan Linh Dang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104860,https://doi.org/10.1016/j.cviu.2026.104860
231,Method,Corrigendum to “M-Control: Improving text–image consistency via Mask-Guided ControlNet” [Comput. Vis. Image Underst. 270 (2026) 104832],"Xinlong Zhang, Jia Wei, Wei Li, Zejian Li, Yongxing He, Yongchuan Tang",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104854,https://doi.org/10.1016/j.cviu.2026.104854
232,Method,Trainable pointwise decoder module and virtual range image-guided copy-rotate-paste augmentation for point cloud segmentation,"Bike Chen, Chen Gong, Antti Tikanmäki, Juha Röning",270.0,,2026-8,Issue/Volume,10.1016/j.cviu.2026.104859,https://doi.org/10.1016/j.cviu.2026.104859
233,Method,CuDi: Curl-divergence based lightweight descriptor for deterministic multimodal image registration,"Edoardo Malaspina, Kamel Abdelouahab, Francois Berry",271.0,,2026-9,Issue/Volume,10.1016/j.cviu.2026.104862,https://doi.org/10.1016/j.cviu.2026.104862
234,Method,Lightweight anomaly detection framework for driving environments,"Carlos David Ardon Munoz, Yoshio Iwai, Kota Aoki",271.0,,2026-9,Issue/Volume,10.1016/j.cviu.2026.104863,https://doi.org/10.1016/j.cviu.2026.104863
235,Method,Cauchy-MSE kernel based Iterative Closest Point for point cloud registration,"Yangxi Tang, Yan Peng",271.0,,2026-9,Issue/Volume,10.1016/j.cviu.2026.104865,https://doi.org/10.1016/j.cviu.2026.104865
236,Method,Beyond detection: A survey on proactive disruption and defense strategies for deepfake face generation,"Nhu Bui, Huy Nguyen, Khang Phan, Nhi Ngo, Anh Tran, Trung Nguyen, Hung Nguyen, Tri Doan, Hien D. Nguyen, Triet Le",271.0,,2026-9,Issue/Volume,10.1016/j.cviu.2026.104867,https://doi.org/10.1016/j.cviu.2026.104867
237,Method,Dynamic training of spiking neural networks with loss-based stochastic latency,"Xiao Du, Wanli Shi, Hanyuan Zheng, Bhaskar Mukhoty, Yang Cao, Bin Gu, Tieru Wu",271.0,,2026-9,Issue/Volume,10.1016/j.cviu.2026.104873,https://doi.org/10.1016/j.cviu.2026.104873
238,Method,"Camera trajectory generation: A comprehensive survey of methods, metrics, and future directions","Zahra Dehghanian, Pouya Ardehkhani, Amir Vahedi, Hamid Beigy, Hamid R. Rabiee",271.0,,2026-9,Issue/Volume,10.1016/j.cviu.2026.104872,https://doi.org/10.1016/j.cviu.2026.104872
239,Method,Picture the suspect: Conformal soft-biometric triage across faces and pedestrians,"Noor Fatima, Moataz Ahmed",271.0,,2026-9,Issue/Volume,10.1016/j.cviu.2026.104870,https://doi.org/10.1016/j.cviu.2026.104870
240,Method,EXACT: An Explainable Adaptive SemantiC-Trace framework for AI-generated image forensics,"Hui Shi, MingYang Liu, ChengCheng Gong",271.0,,2026-9,Issue/Volume,10.1016/j.cviu.2026.104871,https://doi.org/10.1016/j.cviu.2026.104871
