No,Type,Title,Authors,Kind,Part,DOI,Paper_Link
31,Method,AI-Generated Lecture Slides for Improving Slide Element Detection and Retrieval,"Suyash Maniyar, Vishvesh Trivedi, Ajoy Mondal, Anand Mishra, C. V. Jawahar",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_11,https://doi.org/10.1007/978-3-032-04614-7_11
32,Method,InfoDesignLM: An LLM for Interactive and Controllable Infographic Designing Through Text,"Xilin Zhang, Hao Wang, Jianbiao Dai, Pinpin Zhu",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_12,https://doi.org/10.1007/978-3-032-04614-7_12
33,Method,Layout-Aware Text Editing for Efficient Transformation of Academic PDFs to Markdown,Changxu Duan,Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_13,https://doi.org/10.1007/978-3-032-04614-7_13
34,Method,HiDReader: Human-Inspired Document Reading Agent via Reinforcement Learning,"Changqing Wang, Hao Wang, Pinpin Zhu, Huiran Zhang",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_14,https://doi.org/10.1007/978-3-032-04614-7_14
35,Method,SemiTabDETR: End-to-End Semi-supervised Table Detection with Transformer-Based Enhanced Query Approach,"Tahira Shehzadi, Didier Stricker, Muhammad Zeshan Afzal",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_15,https://doi.org/10.1007/978-3-032-04614-7_15
36,Method,TexTAR: Textual Attribute Recognition in Multi-domain and Multi-lingual Document Images,"Rohan Kumar, Jyothi Swaroopa Jinka, Ravi Kiran Sarvadevabhatla",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_16,https://doi.org/10.1007/978-3-032-04614-7_16
37,Method,Personality Trait Prediction from Twitter Data Using Text and Image Features,"Kunal Biswas, Shivakumara Palaiahnakote, Umapada Pal, Daniel P. Lopresti, Tong Lu",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_18,https://doi.org/10.1007/978-3-032-04614-7_18
38,Method,ComicsPAP: Understanding Comic Strips by Picking the Correct Panel,"Emanuele Vivoli, Artemis Llabrés, Mohamed Ali Souibgui, Marco Bertini, Ernest Valveny Llobet, Dimosthenis Karatzas",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_19,https://doi.org/10.1007/978-3-032-04614-7_19
39,Method,T-LLaVA: An Effective Saliency-Aware Slicing Strategy for Text Recognition,"Mengze Wei, Chun Yang, Min Liang, Fang Zhou, Xiaobin Zhu, Xu-Cheng Yin",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_20,https://doi.org/10.1007/978-3-032-04614-7_20
40,Method,From Conversations to Insights: A Multimodal Approach to Discussion Summarization,"Punit Kumar Singh, Nishant Kumar, Hrushik Mehta, Sriparna Saha",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_21,https://doi.org/10.1007/978-3-032-04614-7_21
41,Method,SemSyn-LCE: A Charge Prediction Method Based on Semantic Syntactic Fusion and Legal Constituent Elements Matching,"Wenjun Chen, Bianxia Du, Wenhui Xia, Qiao Hu, Yupeng Hu",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_22,https://doi.org/10.1007/978-3-032-04614-7_22
42,Method,Expertise Finding: Domain Extraction from Documents Using Fuzzy Clustering,"Dipendra Sharma Kafle, Esma Talhi, Mickael Coustaty, Antoine Doucet",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_23,https://doi.org/10.1007/978-3-032-04614-7_23
43,Method,MATATA: Weakly Supervised End-to-End MAthematical Tool-Augmented Reasoning for Tabular Applications,"Vishnou Vinayagame, Gregory Senay, Luis Martí",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_24,https://doi.org/10.1007/978-3-032-04614-7_24
44,Method,Segmenting France Across Four Centuries,"Marta López-Rauhut, Hongyu Zhou, Mathieu Aubry, Loic Landrieu",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_1,https://doi.org/10.1007/978-3-032-04617-8_1
45,Method,LDTR: Linear Object Detection Transformer for Accurate Graph Generation by Learning the N-Hop Connectivity Information,"Weiwei Duan, Yao-Yi Chiang, Craig A. Knoblock",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_3,https://doi.org/10.1007/978-3-032-04617-8_3
46,Method,LIGHT: Multi-modal Text Linking on Historical Maps,"Yijun Lin, Rhett Olson, Junhan Wu, Yao-Yi Chiang, Jerod Weinman",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_4,https://doi.org/10.1007/978-3-032-04617-8_4
47,Method,Selective Forgetting in Document Images Using Enhanced Ensembles,"Muhammad Mashhood, Momina Moetesum, Faisal Shafait, Adnan Ul-Hasan",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_5,https://doi.org/10.1007/978-3-032-04617-8_5
48,Method,Federated Unlearning with Clustered Asynchronous Aggregation and Ensemble Learning for Efficient Privacy-Preserving Document Analysis,"Ahmad Sarmad Ali, Momina Moetesum, Faisal Shafait, Adnan Ul-Hasan",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_6,https://doi.org/10.1007/978-3-032-04617-8_6
49,Method,Multi-scale Convolution Combined with DTW for Online Signature Verification,"Dengshan Yang, Mahpirat Muhammat, Xuebin Xu, Alimjan Aysa, Kurban Ubul",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_7,https://doi.org/10.1007/978-3-032-04617-8_7
50,Method,Towards the Influence of Text Quantity on Writer Retrieval,"Marco Peer, Robert Sablatnig, Florian Kleber",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_8,https://doi.org/10.1007/978-3-032-04617-8_8
51,Method,Dual Downsample Vision Transformer for Handwritten Text Recognition,"Yew Lee Tan, Ernest Yu-Kai Chew, Jung-jae Kim, Adams Wai-Kin Kong",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_9,https://doi.org/10.1007/978-3-032-04617-8_9
52,Method,Computer-Aided Multi-stroke Character Simplification by Stroke Removal,"Ryo Ishiyama, Shinnosuke Matsuo, Seiichi Uchida",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_10,https://doi.org/10.1007/978-3-032-04617-8_10
53,Method,A Unified Model for Paragraph and Line-Level Handwritten Text Recognition,"Ernest Yu-Kai Chew, Adams Wai-Kin Kong, Joo-Hwee Lim",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_11,https://doi.org/10.1007/978-3-032-04617-8_11
