No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
149,Method,Scene Chinese Recognition with Local and Global Attention,"Zhao Chen, Yaohua Yi, Chaohua Gan, Ziwei Tang, Dezhu Kong",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111013,https://doi.org/10.1016/j.patcog.2024.111013
150,Method,Extremely compact video representation for efficient near-duplicates detection,"Katarzyna Fojcik, Piotr Syga, Marek Klonowski",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111016,https://doi.org/10.1016/j.patcog.2024.111016
151,Method,DRNet: Learning a dynamic recursion network for chaotic rain streak removal,"Zhiying Jiang, Risheng Liu, Shuzhou Yang, Zengxi Zhang, Xin Fan",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111004,https://doi.org/10.1016/j.patcog.2024.111004
152,Method,Asymmetric patch sampling for contrastive learning,"Chengchao Shen, Jianzhong Chen, Shu Wang, Hulin Kuang, Jin Liu, Jianxin Wang",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111012,https://doi.org/10.1016/j.patcog.2024.111012
153,Method,Collaborative graph neural networks for augmented graphs: A local-to-global perspective,"Qihang Guo, Xibei Yang, Ming Li, Yuhua Qian",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111020,https://doi.org/10.1016/j.patcog.2024.111020
154,Method,Video Anomaly Detection via self-supervised and spatio-temporal proxy tasks learning,"Qingyang Yang, Chuanxu Wang, Peng Liu, Zitai Jiang, Jiajiong Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111021,https://doi.org/10.1016/j.patcog.2024.111021
155,Method,FICE: Text-conditioned fashion-image editing with guided GAN inversion,"Martin Pernuš, Clinton Fookes, Vitomir Štruc, Simon Dobrišek",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111022,https://doi.org/10.1016/j.patcog.2024.111022
156,Method,Online kernel-based clustering,"Abrar Alam, Akshay Malhotra, Ioannis D. Schizas",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111009,https://doi.org/10.1016/j.patcog.2024.111009
157,Method,A novel domain independent scene text localizer,"Ayush Roy, Shivakumara Palaiahnakote, Umapada Pal, Cheng-Lin Liu",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111015,https://doi.org/10.1016/j.patcog.2024.111015
158,Method,ISDAT: An image-semantic dual adversarial training framework for robust image classification,"Chenhong Sui, Ao Wang, Haipeng Wang, Hao Liu, Qingtao Gong, Jing Yao, Danfeng Hong",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110968,https://doi.org/10.1016/j.patcog.2024.110968
159,Method,Versatile Teacher: A class-aware teacher–student framework for cross-domain adaptation,"Runou Yang, Tian Tian, Jinwen Tian",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111024,https://doi.org/10.1016/j.patcog.2024.111024
160,Method,Reference-then-supervision framework for infrared and visible image fusion,"Guihui Li, Zhensheng Shi, Zhaorui Gu, Bing Zheng, Haiyong Zheng",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110996,https://doi.org/10.1016/j.patcog.2024.110996
161,Method,Iterative target updation based boosting ensembles for outlier detection,"Akanksha Mukhriya, Rajeev Kumar",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111023,https://doi.org/10.1016/j.patcog.2024.111023
162,Method,Overcoming learning bias via Prototypical Feature Compensation for source-free domain adaptation,"Zicheng Pan, Xiaohan Yu, Weichuan Zhang, Yongsheng Gao",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111025,https://doi.org/10.1016/j.patcog.2024.111025
163,Method,SiGNN: A spike-induced graph neural network for dynamic graph representation learning,"Dong Chen, Shuai Zheng, Muhao Xu, Zhenfeng Zhu, Yao Zhao",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111026,https://doi.org/10.1016/j.patcog.2024.111026
164,Method,TBConvL-Net: A hybrid deep learning architecture for robust medical image segmentation,"Shahzaib Iqbal, Tariq M. Khan, Syed S. Naqvi, Asim Naveed, Erik Meijering",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111028,https://doi.org/10.1016/j.patcog.2024.111028
165,Method,Revisiting trace norm minimization for tensor Tucker completion: A direct multilinear rank learning approach,"Xueke Tong, Hancheng Zhu, Lei Cheng, Yik-Chung Wu",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110995,https://doi.org/10.1016/j.patcog.2024.110995
166,Method,Efficient large-scale scene representation with a hybrid of high-resolution grid and plane features,"Yuqi Zhang, Guanying Chen, Shuguang Cui",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111001,https://doi.org/10.1016/j.patcog.2024.111001
167,Method,Rethinking the validity of perturbation in single-step adversarial training,"Yao Ge, Yun Li, Keji Han",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111007,https://doi.org/10.1016/j.patcog.2024.111007
168,Method,Parallel multi-scale dynamic graph neural network for multivariate time series forecasting,"Mingjie Hou, Zhenyu Liu, Guodong Sa, Yueyang Wang, Jiacheng Sun, Zhinan Li, Jianrong Tan",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111037,https://doi.org/10.1016/j.patcog.2024.111037
169,Method,Geometry-semantic aware for monocular 3D Semantic Scene Completion,"Zonghao Lu, Bing Cao, Shuyin Xia, Qinghua Hu",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111030,https://doi.org/10.1016/j.patcog.2024.111030
170,Method,VPA-Net: A visual perception assistance network for 3d lidar semantic segmentation,"Fangfang Lin, Tianliang Lin, Yu Yao, Haoling Ren, Jiangdong Wu, Qipeng Cai",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111014,https://doi.org/10.1016/j.patcog.2024.111014
171,Method,Layer-wise normalized deep incomplete multiview nonnegative matrix factorization,"Guosheng Cui, Dan Wu, Ye Li, Jianzhong Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111010,https://doi.org/10.1016/j.patcog.2024.111010
172,Method,Distilling efficient Vision Transformers from CNNs for semantic segmentation,"Xu Zheng, Yunhao Luo, Pengyuan Zhou, Lin Wang",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111029,https://doi.org/10.1016/j.patcog.2024.111029
173,Method,NeRF-based Polarimetric Multi-view Stereo,"Jiakai Cao, Zhenlong Yuan, Tianlu Mao, Zhaoqi Wang, Zhaoxin Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111036,https://doi.org/10.1016/j.patcog.2024.111036
174,Method,An illumination-guided dual attention vision transformer for low-light image enhancement,"Yanjie Wen, Ping Xu, Zhihong Li, Wangtu Xu(ATO)",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111033,https://doi.org/10.1016/j.patcog.2024.111033
175,Method,Fast adaptively balanced min-cut clustering,"Feiping Nie, Fangyuan Xie, Jingyu Wang, Xuelong Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111027,https://doi.org/10.1016/j.patcog.2024.111027
176,Method,Three-way decision-based label integration for crowdsourcing,"Can Pan, Liangxiao Jiang, Chaoqun Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111034,https://doi.org/10.1016/j.patcog.2024.111034
177,Method,A two-layer regression network for robust and accurate domain adaptation,"Geonseok Lee, Kichun Lee",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111038,https://doi.org/10.1016/j.patcog.2024.111038
178,Method,QFAE: Q-Function guided Action Exploration for offline deep reinforcement learning,"Teng Pang, Guoqiang Wu, Yan Zhang, Bingzheng Wang, Yilong Yin",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111032,https://doi.org/10.1016/j.patcog.2024.111032
179,Method,Self-supervised fusion network for RGB-D interest point detection and description,"Ningning Li, Xiaomin Wang, Zhou Zheng, Zhendong Sun",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111040,https://doi.org/10.1016/j.patcog.2024.111040
180,Method,Attention redirection transformer with semantic oriented learning for unbiased scene graph generation,"Ruonan Zhang, Gaoyun An, Yigang Cen, Qiuqi Ruan",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111039,https://doi.org/10.1016/j.patcog.2024.111039
