No,Type,Title,Authors,Volume,DOI,Paper_Link
751,Method,Cosmo3DFlow: Wavelet Flow Matching for Spatial-to-Spectral Compression in Reconstructing the Early Universe,"Md. Khairul Islam, Zeyu Xia, Ryan Goudjil, Jialu Wang, Arya Farahi, Judy Fox",10.1145/3770855,10.1145/3770855.3818994,https://doi.org/10.1145/3770855.3818994
752,Method,Effective and Robust Single-cell Cross-omics Annotation via Vector-Quantized Autoencoders,"Han Peng, Wuchao Liu, Yifang Cai, Wengen Li, Yichao Zhang, Jihong Guan, Shuigeng Zhou",10.1145/3770855,10.1145/3770855.3818995,https://doi.org/10.1145/3770855.3818995
753,Method,S ci H orizon -D ata EVA: An Agentic System to Scalable AI-Readiness Evaluation of Heterogeneous Scientific Data,"Dianyu Liu, Chuan Qin, Xi Chen, Xiaohan Li, Wenxi Xu, Yuyang Wang, Xin Chen, Yuanchun Zhou, Hengshu Zhu",10.1145/3770855,10.1145/3770855.3818996,https://doi.org/10.1145/3770855.3818996
754,Method,DeepTaxon: An Interpretable Retrieval-Augmented Multimodal Framework for Unified Species Identification and Discovery,"Jiawei Wang, Ming Lei, Yaning Yang, Xinyan Lin, Yuquan Le, Qiwei Ma, Zhiwei Xu, Zheqi Lv, Yuchen Ang, Zhe Quan, Tat-Seng Chua",10.1145/3770855,10.1145/3770855.3818997,https://doi.org/10.1145/3770855.3818997
755,Method,Korea Day,"Won Kim, Jae-Gil Lee, Kyuseok Shim",10.1145/3770855,10.1145/3770855.3819815,https://doi.org/10.1145/3770855.3819815
756,Method,Scalable Network-Aware Experiment Design for Two-Sided Marketplaces,"Yi Su, Zhen Yan",10.1145/3770855,10.1145/3770855.3828560,https://doi.org/10.1145/3770855.3828560
757,Method,RELIANCE: Curating and Evaluating Reproductive Health Information on Social Media,"Vaibhav Balloli, Laura Peyton Ellis, Vishala Mishra, Alice Chi, Alex Peahl, Elizabeth Bondi-Kelly",10.1145/3770855,10.1145/3770855.3817447,https://doi.org/10.1145/3770855.3817447
758,Method,Machine Unlearning on Trajectory Data: An Experimental Analysis,"Yuanjun Liu, Jiaxing Shen, Weiqi Wang, Jingwen Li, Jiajie Xu, Lei Zhao, Haoran Xie, An Liu",10.1145/3770855,10.1145/3770855.3817450,https://doi.org/10.1145/3770855.3817450
759,Method,Realistic Simulation and Evaluation of E-CNY Lifecycle Transactions for Anti-Money Laundering,"Wangyue Li, Qizhou Chen, Wei Deng, Xiao Chen, Yao Tong, Yadong Fu, Feng Zhu, Xiaofeng He",10.1145/3770855,10.1145/3770855.3817456,https://doi.org/10.1145/3770855.3817456
760,Method,Enhancing Biomedical AI Foundations: Genomic Literature Knowledge Base Boosts LLMs' Mastery of Biomedical Literature,"Yuanhao Huang, Zhaowei Han, Kevin Chang, Tiancheng Jiao, Jie Liu",10.1145/3770855,10.1145/3770855.3817461,https://doi.org/10.1145/3770855.3817461
761,Method,Evaluating Uplift Modeling under Structural Biases: Insights into Metric Stability and Model Robustness,"Yuxuan Yang, Dugang Liu, Yiyan Huang",10.1145/3770855,10.1145/3770855.3817465,https://doi.org/10.1145/3770855.3817465
