No,Type,Title,Authors,Track,DOI,Paper_Link,PDF_Link
418,Method,Mc-Depth: Modular And Compute-Efficient Monocular Depth Estimation For Outdoor On-Board Vehicle Perception Systems,"IATRIDES, Marie-Claire; Gomez-Krämer, Petra; Ben Ahmed, Olfa; Marchand, Sylvain",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_6,https://doi.org/10.1007/978-3-032-31452-9_6,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_6
419,Method,Quantum Hamiltonian Descent For Rigid Image Registration,"Voigts, Johannes; Kuete-Meli, Natacha; Lellmann, Jan",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_10,https://doi.org/10.1007/978-3-032-31452-9_10,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_10
420,Method,Occface: Unified Occlusion-Aware Facial Landmark Detection With Per-Point Visibility,"Xiang, Xinhao; Li, Shin; Dhakad, Saurav; Bancroft, Theo; Zhang , Jiawei; Li, Weiyang",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_14,https://doi.org/10.1007/978-3-032-31452-9_14,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_14
421,Method,Beyond Zoh: Advanced Discretization Strategies For Vision Mamba,"Ibrahim, Fady; Wang, Guanghui; Liu, Guangjun",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_19,https://doi.org/10.1007/978-3-032-31452-9_19,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_19
422,Method,Paconet: Deep Data Extraction For Parallel Coordinates,"Poonam, Poonam; Kniesel, Hannah; Vázquez, Pere-Pau; Ropinski, Timo",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_24,https://doi.org/10.1007/978-3-032-31452-9_24,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_24
423,Method,Spiking Transformer Framework For Event-Based Object Detection,"Ullah, Wasi; Ambellouis, Sébastien ; Tatkeu, Charles",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_25,https://doi.org/10.1007/978-3-032-31452-9_25,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_25
424,Method,Spare: A Fast And Accurate Approach Based On Handcrafted Features And Lightweight Fusion For 3D Anomaly Detection,"Lhoste, Remi; Delhay, Damien; Baou, Zakaria; Lhoste, Remi",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_28,https://doi.org/10.1007/978-3-032-31452-9_28,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_28
425,Method,Mmg-Slam: Multimodal Visual Slam With Mambavision Loops And Gaussian Splatting,"Bandyopadhyay, Ashok; Gupta, Adarsh; Sur, Arijit; UP, Rajeev",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_29,https://doi.org/10.1007/978-3-032-31452-9_29,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_29
426,Method,Wheatformer3D: Segmentation And Phenotyping Of Wheat Heads With Transformers,"Singh, Ashutosh; Hoppe, Sarah; Emilie-Budde, Lina; Pircher, Maximilian; Stefan Oehmcke, Stefan",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_31,https://doi.org/10.1007/978-3-032-31452-9_31,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_31
427,Method,Depth-Guided Semantic Mapping Of 3D Endoscopic Reconstructions,"Gyawali, Dipesh; Rogers, Jude; Green, Duncan; Karras, Elena; O'Malley, Quinn; Mundy, Thomas; Conley,  Ashley ; Marin, Valentina Vargas; Wong, James; Fujiwara, Akio; Barbalata, Corina; McCoul, Edward D.; Bidwell, Jonathan",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_35,https://doi.org/10.1007/978-3-032-31452-9_35,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_35
428,Method,Compact Recurrent Transformer With Persistent Memory,"Mucllari, Edison; Daniels, Zachary; Zhang, David; Ye, Qiang",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_43,https://doi.org/10.1007/978-3-032-31452-9_43,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_43
