key,title,authors,venue,year,preprint,decision,reason
page2021prisma,The PRISMA 2020 Statement: An Updated Guideline for Reporting Systematic Reviews,"Page, Matthew J. and McKenzie, Joanne E. and Bossuyt, Patrick M. and Boutron, Isabelle and Hoffmann, Tammy C. and Mulrow, Cynthia D. and others",BMJ,2021,no,included,
wu2025molorag,MoLoRAG: Bootstrapping Document Understanding via Multi-modal Logic-aware Retrieval,"Wu, Xixi and Tan, Yanchao and Hou, Nan and Zhang, Ruiyang and Cheng, Hong",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2025,no,included,
harley2015rvlcdip,Evaluation of Deep Convolutional Nets for Document Image Classification and Retrieval,"Harley, Adam W. and Ufkes, Alex and Derpanis, Konstantinos G.",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2015,no,included,
xing2024dochienet,DocHieNet: A Large and Diverse Dataset for Document Hierarchy Parsing,"Xing, Hangdi and Cheng, Changxu and Gao, Feiyu and Shao, Zirui and Yu, Zhi and Bu, Jiajun and Zheng, Qi and Yao, Cong",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2024,no,included,
he2023icld3ie,ICL-D3IE: In-Context Learning with Diverse Demonstrations Updating for Document Information Extraction,"He, Jiabang and Wang, Lei and Hu, Yi and Liu, Ning and Liu, Hui and Xu, Xing and Shen, Heng Tao",Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),2023,no,included,
hikey2026,HiKEY: Hierarchical Multimodal Retrieval for Open-Domain Document Question Answering,Anonymous,arXiv preprint arXiv:2605.29606,2026,yes,included,
masry2025colflor,ColFlor: Towards BERT-Size Vision-Language Document Retrieval Models,"Masry, Ahmed and Hoque, Enamul",Proc. IEEE Int. Workshop Machine Learning for Signal Processing (MLSP),2025,no,included,
masry2025colmate,ColMate: Contrastive Late Interaction and Masked Text for Multimodal Document Retrieval,"Masry, Ahmed and Thakkar, Megh and Bechard, Patrice and Madhusudhan, Sathwik Tejaswi and Awal, Rabiul and Mishra, Shambhavi and Suresh, Akshay Kalkunte and Daruru, Srivatsava and Hoque, Enamul and Gella, Spandana and others","Proc. Conf. Empirical Methods Natural Language Process. (EMNLP), Industry Track",2025,no,included,
ding2025vrdiu,VRD-IU: Lessons from Visually Rich Document Intelligence and Understanding,"Ding, Yihao and Han, Soyeon Caren and Li, Yan and Poon, Josiah",arXiv preprint arXiv:2506.01388,2025,yes,included,
edge2024graphrag,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,"Edge, Darren and Trinh, Ha and Cheng, Newman and Bradley, Joshua and Chao, Alex and Mody, Apurva and Truitt, Steven and Metropolitansky, Dasha and Ness, Robert Osazuwa and Larson, Jonathan",arXiv preprint arXiv:2404.16130,2024,yes,included,
