key,title,authors,venue,year,preprint,decision,reason
mathew2021docvqa,DocVQA: A Dataset for VQA on Document Images,"Mathew, Minesh and Karatzas, Dimosthenis and Jawahar, C. V.",Proc. IEEE/CVF Winter Conf. Appl. Comput. Vis. (WACV),2021,no,included,
mathew2022infovqa,InfographicVQA,"Mathew, Minesh and Bagal, Viraj and Tito, Rub\`en and Karatzas, Dimosthenis and Valveny, Ernest and Jawahar, C. V.",Proc. IEEE/CVF Winter Conf. Appl. Comput. Vis. (WACV),2022,no,included,
tanaka2021visualmrc,VisualMRC: Machine Reading Comprehension on Document Images,"Tanaka, Ryota and Nishida, Kyosuke and Yoshida, Sen",Proc. AAAI Conf. Artificial Intelligence,2021,no,included,
zhu2022tatdqa,Towards Complex Document Understanding by Discrete Reasoning,"Zhu, Fengbin and Lei, Wenqiang and Feng, Fuli and Wang, Chao and Zhao, Haozhou and Chua, Tat-Seng",Proc. ACM Int. Conf. Multimedia (ACM MM),2022,no,included,
tanaka2023slidevqa,SlideVQA: A Dataset for Document Visual Question Answering on Multiple Images,"Tanaka, Ryota and Nishida, Kyosuke and Nishida, Kosuke and Hasegawa, Taku and Saito, Itsumi and Saito, Kuniko",Proc. AAAI Conf. Artificial Intelligence,2023,no,included,
vanlandeghem2023dude,Document Understanding Dataset and Evaluation (DUDE),"Van Landeghem, Jordy and Tito, Rub\`en and Borchmann, Lukasz and Pietruszka, Michal and Joziak, Pawel and Powalski, Rafal and others",Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),2023,no,included,
tito2023mpdocvqa,Hierarchical Multimodal Transformers for Multipage DocVQA,"Tito, Rub\`en and Karatzas, Dimosthenis and Valveny, Ernest",Pattern Recognition,2023,no,included,
li2024arxivqa,Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,"Li, Lei and Wang, Yuqi and Xu, Runxin and Wang, Peiyi and Feng, Xiachong and Kong, Lingpeng and others",arXiv preprint arXiv:2403.00231,2024,yes,included,
pramanickspiqa2024,SPIQA: A Dataset for Multimodal Question Answering on Scientific Papers,"Pramanick, Shraman and Chellappa, Rama and Venugopalan, Subhashini",Adv. Neural Inf. Process. Syst. (NeurIPS),2024,no,included,
mammlongbenchdoc2024,MMLongBench-Doc: Benchmarking Long-context Document Understanding with Visualizations,"Ma, Yubo and Zang, Yuhang and Chen, Liangyu and Chen, Meiqi and Jiao, Yizhu and Li, Xinze and others",Adv. Neural Inf. Process. Syst. (NeurIPS),2024,no,included,
huiuda2024,UDA: A Benchmark Suite for Retrieval Augmented Generation in Real-World Document Analysis,"Hui, Yulong and Lu, Yao and Zhang, Huanchen",Adv. Neural Inf. Process. Syst. (NeurIPS) Datasets and Benchmarks Track,2024,no,included,
suri2025visdombench,VisDoMBench: A Benchmark for Multi-Document QA with Visually Rich Elements,"Suri, Manan and Mathur, Puneet and Dernoncourt, Franck and Goswami, Kanika and Rossi, Ryan A. and Manocha, Dinesh",Proc. Conf. North American Chapter Assoc. Comput. Linguistics (NAACL),2025,no,included,
wang2025vidoseek,ViDoSeek: A Benchmark for Visual Document Retrieval and Reasoning,"Wang, Qiuchen and Ding, Ruixue and Chen, Zehui and Wu, Weiqi and Wang, Shihang and Xie, Pengjun and Zhao, Feng",arXiv preprint arXiv:2502.18017,2025,yes,included,
macevidorev22025,ViDoRe Benchmark v2: Raising the Bar for Visual Retrieval,"Mac\'e, Quentin and Loison, Ant\'onio and Faysse, Manuel",arXiv preprint arXiv:2505.17166,2025,yes,included,
loison2026vidorev3,ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented Generation in Complex Real-World Scenarios,"Loison, Ant\'onio and Mac\'e, Quentin and Edy, Antoine and Xing, Victor and Balough, Tom and Moreira, Gabriel de Souza P. and Liu, Bo and Faysse, Manuel and Hudelot, C\'eline and Viaud, Gautier",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
unidocbench2025,UniDoc-Bench: A Unified Benchmark for Document-Centric Multimodal RAG,"Peng, Xiangyu and Qin, Can and Chen, Zeyuan and Xu, Ran and Xiong, Caiming and Wu, Chien-Sheng",arXiv preprint arXiv:2510.03663,2025,yes,included,
visrbench2025,VisR-Bench: An Empirical Study on Visual Retrieval-Augmented Generation for Multilingual Long Document Understanding,"Chen, Jian and Li, Ming and Kil, Jihyung and Wang, Chenguang and Yu, Tong and Rossi, Ryan A. and Zhou, Tianyi and Chen, Changyou and Zhang, Ruiyi",arXiv preprint arXiv:2508.07493,2025,yes,included,
bboxdocvqa2025,BBox-DocVQA: Bounding-Box Grounded Document VQA,Anonymous,arXiv preprint arXiv:2511.15090,2025,yes,included,
finragbenchv2025,FinRAGBench-V: A Benchmark for Multimodal RAG in Finance,Anonymous,arXiv preprint arXiv:2505.17471,2025,yes,included,
wasserman-etal-2025-real,REAL-MM-RAG: A Real-World Multi-Modal Retrieval Benchmark,"Wasserman, Navve and Pony, Roi and Naparstek, Oshri and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
dong-etal-2025-mmdocir,MMDocIR: Benchmarking Multimodal Retrieval for Long Documents,"Dong, Kuicai and Chang, Yujing and Goh Xin Deik, Derrick and others",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2025,no,included,
ouyangomnidocbench2025,OmniDocBench: Benchmarking Diverse PDF Document Parsing with Comprehensive Annotations,"Ouyang, Linke and Qu, Yuan and Zhou, Hongbin and Zhu, Jiawei and Zhang, Rui and Lin, Qunshu and Wang, Bin and Liu, Zhiyuan and Li, Minghao and Xu, Chao and Zhang, Bo and Shi, Botian and Tu, Zhongying and He, Conghui",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2025,no,included,
song2026ocrquality,Defining the Problem: The Impact of OCR Quality on Retrieval-Augmented Generation Performance and Strategies for Improvement,"Song, Minchae",Information Processing \& Management,2026,no,included,
sun-etal-2026-good,When Good OCR Is Not Enough: Benchmarking OCR Robustness for Retrieval-Augmented Generation,"Sun, Lin and Huang, Jingang and Zhang, Linglin and Jia, Change and Cheng, Zhengwei and Zhang, Xiangzheng","Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL), Industry Track",2026,no,included,
zhangocr2025,OCR Hinders RAG: Evaluating the Cascading Impact of OCR,"Zhang, Junyuan and Zhang, Qintong and Wang, Bin and Ouyang, Linke and Wen, Zichen and Li, Ying and Chow, Ka-Ho and He, Conghui and Zhang, Wentao",Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),2025,no,included,
gao-etal-2026-strunrag,StruNRAG: Evaluation of OCR-Induced Structural Noise on RAG Robustness,"Gao, Mengna and Yin, Dapeng and Zhu, Shuyue and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
singh2026devanagariocr,Can OCR-VLMs Read Devanagari? A Stress-Test Benchmark and Post-Correction Study,Singh,arXiv preprint arXiv:2606.29213,2026,yes,included,
bhat2026savior,SAVIOR: Sample-efficient Adaptation of Vision-Language Models for OCR Representation,"Bhat, Akshata A. and Naganna, S. and Haq, Saiful and Khatri, P. and Tamataam, K. C. R. and Arun, N. and others",Proc. IEEE/CVF Winter Conf. Appl. Comput. Vis. Workshops (WACVW),2026,no,included,
zhou2026emorag,EmoRAG: Evaluating RAG Robustness to Symbolic Perturbations,"Zhou, Xiaoyu and Li, Xin and Peng, Yifan and Xu, Ming and Zhang, Xiang and Yu, Ming and others",Proc. ACM SIGKDD Int. Conf. Knowledge Discovery and Data Mining,2026,no,included,
napolitanobenchmarking2026,Benchmarking Visual LLMs Resilience to Unanswerable Questions on Visually Rich Documents,"Napolitano, Davide and Cagliero, Luca and Battiloro, Fabrizio",Proc. AAAI Conf. Artificial Intelligence,2026,no,included,
zhangqerag2026,QE-RAG: A Robust Retrieval-Augmented Generation Benchmark for Query Entry Errors,"Zhang, Kepu and Sun, Zhongxiang and Yu, Weijie and Zang, Xiaoxue and Zheng, Kai and Song, Yang and others",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2026,no,included,
salemievaluating2024,Evaluating Retrieval Quality in Retrieval-Augmented Generation,"Salemi, Alireza and Zamani, Hamed",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2024,no,included,
cuconasuthe2024,The Power of Noise: Redefining Retrieval for RAG Systems,"Cuconasu, Florin and Trappolini, Giovanni and Siciliano, Federico and Filice, Simone and Campagnano, Cesare and Maarek, Yoelle and others",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2024,no,included,
lilong2025,Long Context vs. RAG: Strategies for Processing Long Documents in LLMs,"Li, Xinze and Bai, Yushi and Jin, Bowen and Zhu, Fengbin and Pan, Liangming and Cao, Yixin",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2025,no,included,
jinlongcontext2025,Long-Context LLMs Meet RAG: Overcoming Challenges for Long Inputs in RAG,"Jin, Bowen and Yoon, Jinsung and Han, Jiawei and Arik, Sercan",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
yueinference2025,Inference Scaling for Long-Context Retrieval Augmented Generation,"Yue, Zhenrui and Zhuang, Honglei and Bai, Aijun and Hui, Kai and Jagerman, Rolf and Zeng, Hansi and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
levy-etal-2025-documents,"More Documents, Same Length: Isolating the Challenge of Multiple Documents in RAG","Levy, Shahar and Mazor, Nir and Shalmon, Lihi and others",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2025,no,included,
tang2025mtvqa,MTVQA: Benchmarking Multilingual Text-Centric Visual Question Answering,"Tang, Jingqun and Liu, Qi and Ye, Yongjie and Lu, Jinghui and Wei, Shu and Lin, Chunhui and others",Findings of ACL,2025,no,included,
osmulski2025miraclvision,"MIRACL-VISION: A Large, Multilingual, Visual Document Retrieval Benchmark","Osmulski, Radek and Moreira, Gabriel de Souza P. and Ak, Ronay and Xu, Mengyao and Schifferer, Benedikt and Oldridge, Even",arXiv preprint arXiv:2505.11651,2025,yes,included,
indicvisionbench2026,IndicVisionBench: A Multimodal Benchmark for Indic Languages,Anonymous,Proc. Int. Conf. Learning Representations (ICLR),2026,no,included,
nath2025indicdlp,IndicDLP: A Foundational Dataset for Multi-lingual and Multi-domain Document Layout Parsing,"Nath, Oikantik and Kukkala, Sahithi and Khapra, Mitesh M. and Sarvadevabhatla, Ravi Kiran",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2025,no,included,
vijayan2025indicstr,Scene Text Recognition: An Indic Perspective,"Vijayan, Vishal P. and Chanda, Sukalpa and Doermann, David S. and Krishnan, Narayanan C.",Int. J. Document Analysis and Recognition (IJDAR),2025,no,included,
liu2026m3d,"M$^3$D: A Multimodal, Multilingual and Multitask Dataset for Grounded Document-Level Information Extraction","Liu, Jiang and Li, Bobo and Yang, Xinran and Yang, Na and Fei, Hao and Zhang, Mingyao and others",IEEE Trans. Pattern Anal. Mach. Intell.,2026,no,included,
yueseavision2026,SEA-Vision: A Multilingual Benchmark for Comprehensive Document and Scene Text Understanding in Southeast Asia,"Yue, Pengfei and Zhao, Xingran and Chen, Juntao and Hou, Peng and Longchao, Wang and Lin, Jianghang and others",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2026,no,included,
anugraham4rag2026,M4-RAG: A Massive-Scale Multilingual Multi-Cultural Multimodal RAG,"Anugraha, David and Irawan, Patrick Amadeus and SinghAnshul and Lee, En-Shiun Annie and Winata, Genta Indra",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2026,no,included,
qi2024roravlm,RoRA-VLM: Robust Retrieval Augmentation for Vision Language Models,"Qi, Jingyuan and others",arXiv preprint arXiv:2410.08876,2024,yes,included,
sun2024surf,SURf: Teaching Large Vision-Language Models to Selectively Utilize Retrieved Information,"Sun, Jiashuo and others",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2024,no,included,
sharifymoghaddam2024unirag,UniRAG: Universal Retrieval Augmentation for Large Vision Language Models,"Sharifymoghaddam, Sahel and Upadhyay, Shivani and Chen, Wenhu and Lin, Jimmy",arXiv preprint arXiv:2405.10311,2024,yes,included,
sun2025visrag2,VisRAG 2.0: Evidence-Guided Multi-Image Reasoning in Visual Retrieval-Augmented Generation,"Sun, Yubo and Peng, Chunyi and Yan, Yukun and Yu, Shi and Liu, Zhenghao and Chen, Chi and Liu, Zhiyuan and Sun, Maosong",arXiv preprint arXiv:2510.09733,2025,yes,included,
most2025lostocr,Lost in OCR Translation? Vision-Based Approaches to Robust Document Retrieval,Most and Winjum and Bhattarai and others,Proc. ACM Symp. Document Engineering (DocEng),2025,no,included,
piryani2025multiocrqa,MultiOCR-QA: A Multilingual Dataset for Question Answering on OCR-Processed Text,"Piryani, Bhawna and others",arXiv preprint arXiv:2502.16781,2025,yes,included,
yan2025docpruner,DocPruner: A Storage-Efficient Framework for Multi-Vector Visual Document Retrieval via Adaptive Patch-Level Embedding Pruning,"Yan, Yibo and Xu, Guangwei and Zou, Xin and Liu, Shuliang and Kwok, James and Hu, Xuming",arXiv preprint arXiv:2509.23883,2025,yes,included,
visuallatechunking2026,Visual Late Chunking: An Empirical Study of Contextual Chunking for Efficient Visual Document Retrieval,Anonymous,arXiv preprint arXiv:2604.10167,2026,yes,included,
beyondgrid2026,Beyond the Grid: Layout-Informed Multi-Vector Retrieval with Parsed Visual Document Representations,Anonymous,arXiv preprint arXiv:2603.01666,2026,yes,included,
cmrag2025,CMRAG: Co-Modality-Based Visual Document Retrieval and Question Answering,Anonymous,arXiv preprint arXiv:2509.02123,2025,yes,included,
meng2025vlm2vecv2,"VLM2Vec-V2: Advancing Multimodal Embedding for Videos, Images, and Visual Documents","Meng, Rui and Jiang, Ziyan and Liu, Ye and Su, Hanyu and others",arXiv preprint arXiv:2507.04590,2025,yes,included,
moreira2026nemotroncolembed,Nemotron ColEmbed V2: Top-Performing Late Interaction Embedding Models for Visual Document Retrieval,"Moreira, Gabriel de Souza P. and Osmulski, Radek and Xu, Mengyao and Ak, Ronay and Schifferer, Benedikt and Oldridge, Even",arXiv preprint arXiv:2602.03992,2026,yes,included,
nandi2024vducomparative,Visual Document Understanding: A Comparative Review of Modern Methods,"Nandi, Kalyan and Sathya, S. Siva",Proc. Int. Conf. Computer Vision and Image Processing (CVIP),2024,no,included,
li2025dotsocr,dots.ocr: Multilingual Document Layout Parsing in a Single Vision-Language Model,"Li, Yumeng and Yang, Guang and Liu, Hao and Wang, Bowen and Zhang, Colin",arXiv preprint arXiv:2512.02498,2025,yes,included,
li2025monkeyocr,MonkeyOCR: Document Parsing with a Structure-Recognition-Relation Triplet Paradigm,"Li, Zhang and Liu, Yuliang and Liu, Qiang and Ma, Zhiyin and Zhang, Ziyang and Zhang, Shuo and Guo, Zidun and Zhang, Jiarui and Wang, Xinyu and Bai, Xiang",arXiv preprint arXiv:2506.05218,2025,yes,included,
