BibKey,Title,Authors,Year,Venue,DOI,URL,CitedInPaper,Link,LinkType
mandal2011signaturecrf,Signature Segmentation from Machine Printed Documents Using Conditional Random Field,"Mandal, Ranju and Roy, Partha Pratim and Pal, Umapada",2011,Proc. Int. Conf. Document Analysis and Recognition (ICDAR),10.1109/ICDAR.2011.236,,yes,https://doi.org/10.1109/ICDAR.2011.236,paper
nandedkar2015textgraphics,Text-Graphics Separation to Detect Logo and Stamp from Color Document Images: A Spectral Approach,"Nandedkar, Abhijit and Mukhopadhyay, Jayanta and Sural, Shamik",2015,Proc. Int. Conf. Document Analysis and Recognition (ICDAR),10.1109/ICDAR.2015.7333826,,,https://doi.org/10.1109/ICDAR.2015.7333826,paper
ju2025dkds,DKDS: A Benchmark Dataset of Degraded Kuzushiji Documents with Seals for Detection and Binarization,"Ju, Rui-Yang and Yamashita, Kohei and Kameko, Hirotaka and Mori, Shinsuke",2026,Int. J. Document Analysis and Recognition (IJDAR),10.1007/s10032-026-00595-5,,yes,https://doi.org/10.1007/s10032-026-00595-5,paper
zramdini1998fontrecognition,Optical Font Recognition Using Typographical Features,"Zramdini, Abdelwahab and Ingold, Rolf",1998,IEEE Trans. Pattern Anal. Mach. Intell.,,,yes,https://scholar.google.com/scholar?q=Optical+Font+Recognition+Using+Typographical+Features,Scholar search
marinai2006fontadaptive,Font Adaptive Word Indexing of Modern Printed Documents,"Marinai, Simone and Marino, Emanuele and Soda, Giovanni",2006,IEEE Trans. Pattern Anal. Mach. Intell.,,,,https://scholar.google.com/scholar?q=Font+Adaptive+Word+Indexing+of+Modern+Printed+Documents,Scholar search
wang2015deepfont,DeepFont: Identify Your Font from an Image,"Wang, Zhangyang and Yang, Jianchao and Jin, Hailin and Shechtman, Eli and Agarwala, Aseem and Brandt, Jonathan and others",2015,Proc. ACM Int. Conf. Multimedia (ACM MM),10.1145/2733373.2806219,,,https://doi.org/10.1145/2733373.2806219,paper
tsuji2021fontusagetrends,Using Robust Regression to Find Font Usage Trends,"Tsuji and Uchida, Seiichi and Iwana, Brian Kenji",2021,Proc. ICDAR Workshops,,,,https://scholar.google.com/scholar?q=Using+Robust+Regression+to+Find+Font+Usage+Trends,Scholar search
yasukochi2023fontstyleusage,Analyzing Font Style Usage and Contextual Factors in Real Images,"Yasukochi, Naoya and Hayashi, Hideaki and Haraguchi, Daichi and Uchida, Seiichi",2023,Proc. Int. Conf. Document Analysis and Recognition (ICDAR),10.1007/978-3-031-41682-8_21,,,https://doi.org/10.1007/978-3-031-41682-8_21,paper
textar2025,TexTAR: Textual Attribute Recognition in Multi-domain and Multi-lingual Document Images,"Kumar, Rohan and Jinka, Jyothi Swaroopa and Sarvadevabhatla, Ravi Kiran",2025,Proc. Int. Conf. Document Analysis and Recognition (ICDAR),10.1007/978-3-032-04614-7_16,,yes,https://doi.org/10.1007/978-3-032-04614-7_16,paper
gunther2024latechunking,Late Chunking: Contextual Chunk Embeddings Using Long-Context Embedding Models,"Günther, Michael and Mohr, Isabelle and Williams, Daniel James and Wang, Bo and Xiao, Han",2024,arXiv preprint arXiv:2409.04701,,,yes,https://arxiv.org/abs/2409.04701,arXiv
qu2025semanticchunking,On the Effectiveness of Semantic Chunking,"Qu, Renyi and others",2025,Findings of NAACL,,,yes,https://scholar.google.com/scholar?q=On+the+Effectiveness+of+Semantic+Chunking,Scholar search
zhoubeyond2026,Beyond Chunk-Then-Embed: A Comprehensive Taxonomy and Evaluation of Document Chunking Strategies for Information Retrieval,"Zhou, Yongjie and Wang, Shuai and Koopman, Bevan and Zuccon, Guido",2026,Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,10.1145/3805712.3808575,,,https://doi.org/10.1145/3805712.3808575,paper
